,Organisation_fame_search,Company.name
817,Omega Care Group Ltd,OMEGA CARE GROUP LTD
818,Phoenix Childcare Ltd,PHOENIX CHILDCARE LIMITED
819,Pure Care Homes ltd,PURE CARE HOMES LTD
820,Pathways Care Group,PATHWAYS CARE GROUP LIMITED
821,Lakeside@OurPlace Limited,LAKESIDE@OURPLACE LIMITED
822,Flourish (Gloucestershire) Limited,FLOURISH (GLOUCESTERSHIRE) LIMITED
823,Educare Support Limited,EDUCARE SUPPORT LIMITED
824,Safe Places For Children Uk,SAFE PLACES FOR CHILDREN UK
825,Berry Gifford Ltd,BERRY GIFFORD LTD
826,Cherish childrens Care,CHERISH CHILDRENS CARE LTD
827,Haven Care Group Ltd,HAVEN CARE GROUP LIMITED
828,Restorative social care services ltd,RESTORATIVE SOCIAL CARE SERVICES LTD.
829,Blossom Care Group Ltd,BLOSSOM CARE GROUP LIMITED
830,Flourish childrens Services Limited,FLOURISH CHILDRENS SERVICES LIMITED
831,Nirmal Homes Ltd,NIRMAL HOMES LIMITED
832,CASC (BARROW) LIMITED,CASC (BARROW) LIMITED
833,Progress childrens Services Limited,PROGRESS CHILDREN'S SERVICES LIMITED
834,Mercia Children Services Limited,MERCIA CHILDREN SERVICES LIMITED
835,Care 4 Every Child Limited,CARE 4 EVERY CHILD LIMITED
836,Options Autism (1) Limited,OPTIONS AUTISM (1) LIMITED
837,Nottinghamshire YMCA,YMCA ROBIN HOOD GROUP
838,Tab Care and Support Ltd,TAB CARE AND SUPPORT LTD
839,Above and Beyond Residential Care ltd,ABOVE AND BEYOND RESIDENTIAL CARE LTD
840,Bttlr Limited,BTTLR LIMITED
841,Guidance Care Limited,GUIDANCE CARE LIMITED
842,Windows For Children Ltd,WINDOWS FOR CHILDREN LIMITED
843,Smartcare Services,SMARTCARE SERVICES LIMITED
844,Hand In Hand Childcare,HAND IN HAND CHILDCARE LLP
845,Keys Child Care Ltd,KEYS CHILD CARE LIMITED
846,Heartwood RSC Ltd,HEARTWOOD RSC LTD
847,Paramount Children Care Ltd,PARAMOUNT CHILDREN CARE LTD
848,Anchor Care and Education Limited,ANCHOR CARE AND EDUCATION LTD
849,The Hesley Group Limited,THE HESLEY GROUP LIMITED
850,Northern Community Pathways childrens Residential Services Limited,NORTHERN COMMUNITY PATHWAYS CHILDREN'S RESIDENTIAL SERVICES LTD
851,Achieving For Children Community Interest Company,ACHIEVING FOR CHILDREN COMMUNITY INTEREST COMPANY
852,Sozo Care Homes Limited,SOZO CARE HOMES LIMITED
853,Aspire 2 Be Ltd,ASPIRE 2 BE LTD
854,Midas Manors Ltd,MIDAS MANORS LTD
855,Assure Care Homes Ltd,ASSURE CARE HOMES LTD
856,Compass childrens Homes Kent Limited,COMPASS CHILDREN'S HOMES KENT LIMITED
857,Gracebridge Care Limited,GRACEBRIDGE CARE LIMITED
858,Fonjocks Social Work Practice,FONJOCK'S SOCIAL WORK PRACTICE LIMITED
859,Country Care Childrens Homes Ltd,COUNTRY CARE CHILDRENS HOMES LTD
860,Bfg Together Limited,BFG TOGETHER LTD
861,Mutual Care Ltd,MUTUAL CARE LIMITED
862,Changing Lives Care Group Ltd,CHANGING LIVES CARE GROUP LTD
863,Solace for Children Ltd,SOLACE FOR CHILDREN LIMITED
864,Care Today (Childrens Services) Ltd,CARE TODAY (CHILDRENS SERVICES) LTD
865,R G CARE LTD,R G CARE LTD.
866,HUNTERCOMBE YOUNG PEOPLE LTD,ACTIVE YOUNG PEOPLE LIMITED
867,Consistent Quality Support Ltd,CONSISTENT QUALITY SUPPORT LTD
868,A & S childrens Services LTD,A & S CHILDRENS SERVICES LTD
869,Blossom childrens Homes Limited,BLOSSOM CHILDREN'S HOMES LIMITED
870,GAC FAMILY SERVICES LIMITED,GAC FAMILY SERVICES LIMITED
871,Northwest Youth Services Limited,NORTHWEST YOUTH SERVICES LTD
872,Highlands (Fareham) Limited,HIGHLANDS (FAREHAM) LIMITED
873,Indigo childrens Care Homes Ltd,INDIGO CHILDRENS CARE HOMES LTD
874,Connect Care Solutions Limited,CONNECT CARE SOLUTIONS LIMITED
875,Paramount childrens Services Ltd,PARAMOUNT CHILDREN'S SERVICES LTD
876,Solace Care Redbridge Ltd,SOLACE CARE REDBRIDGE LTD
877,Rainbows Corner Ltd,RAINBOW CORNER LIMITED
878,Onextra Care Ltd,ONEXTRA CARE LTD
879,PCF Residential Childcare Ltd,PCF RESIDENTIAL CHILDCARE LTD
880,Pathways Residential Child Care Limited,PATHWAYS RESIDENTIAL CHILD CARE LIMITED
881,Hmo Ne Ltd,HMO NE LTD
882,Empower Support Services Limited,EMPOWER FAMILY SUPPORT SERVICES LTD
883,Horizon Transitional Care Limited,HORIZON TRANSITIONAL CARE LTD
884,Kelwel Care Limited,KELWEL CARE LIMITED
885,Champion Children (NW London) Limited,CHAMPION CHILDREN (NW LONDON) LIMITED
886,Barnardo Services Limited,BARNARDO SERVICES LIMITED
887,Nisa Care Home Limited,NISA CARE HOME LIMITED
888,Casaegis Ltd,CASAEGIS LIMITED
889,Juventas Services Limited,JUVENTAS SERVICES LIMITED
890,Wynford House Ltd,WYNFORD HOUSE LTD
891,Pilgrim Extra Care Ltd,PILGRIMAGE SHORT STAY RECOVERY UNITS LTD
892,Lavender Grove Cares Limited,LAVENDER GROVE CARES LTD.
893,Capital Childrens Care Ltd,CAPITAL CHILDREN'S CARE LTD
894,CF Support Services Limited,CF SUPPORT SERVICES LIMITED
895,J&r Care Limited,J & R CARE LIMITED
896,Safe Haven Adolescent Care Group Ltd,SAFE HAVEN ADOLESCENT CARE GROUP LIMITED
897,Clervaux Garden School,CLERVAUX GARDEN SCHOOL
898,Senad Limited,SENAD LIMITED
899,TJY Care Ltd,TJY CARE LTD
900,Coastal Quality Care Ltd,COASTAL QUALITY CARE LTD
901,Alexanders House Ltd,ALEXANDERS HOUSE LTD.
902,Unique Care Group Limited,UNIQUE CARE GROUP LTD
903,G&SCARING FORCHILDREN AND YOUNG PEOPLE LTD,G&SCARING FORCHILDREN AND YOUNG PEOPLE LTD
904,T. How Homely Limited,T. HOW HOMELY LIMITED
905,Chillington Close,CHILLINGTON CLOSE LTD
906,Rite Directions Ltd,RITE DIRECTIONS LTD
907,Evoke Care Ltd,EVOKE CARE GROUP LIMITED
908,Child First Residential LTD,CHILD FIRST RESIDENTIAL LTD
909,Raise House Limited,RAISE HOUSE LIMITED
910,The Open Care Group Limited,THE OPEN CARE GROUP LIMITED
911,Overley Hall Limited,OVERLEY HALL LIMITED
912,iMap centre Ltd,IMAP CENTRE LIMITED
913,Willows 21 Limited,WILLOWS 21 LTD
914,Castle Care Homes Ltd,CASTLE CARE HOMES LTD
915,Madiba Limited,MADIBA LIMITED
916,247 Bluebell Care LTD,247 BLUEBELL CARE LIMITED
917,VITA NOVA NE LTD,VITA NOVA NE LTD
918,One Step Care Limited,ONE STEP CARE LIMITED
919,Woodford childrens Services Ltd,WOODFORD CHILDREN'S SERVICES LIMITED
920,Hazelmont Social Care Limited,HAZELMONT SOCIAL CARE LIMITED
921,Pbs Care Homes Ltd,PBS CARE HOMES LTD
922,Almond Care childrens Services Limited,ALMOND CARE CHILDRENS SERVICES LIMITED
923,Future 19 Social Care Limited,FUTURE 19 SOCIAL CARE LIMITED
924,Seva Childcare Ltd,SEVA CHILDCARE LTD
925,New Beginnings Young Peoples Care And Support Services Ltd,NEW BEGINNINGS YOUNG PEOPLE'S CARE AND SUPPORT SERVICES LTD
926,D & J Care Services-Residential Ltd,D&J CARE SERVICES-RESIDENTIAL LTD
927,Eventus Achieves Limited,EVENTUS ACHIEVES LIMITED
928,Dorset Emergency Placement Services Ltd.,DORSET EMERGENCY PLACEMENT SERVICES LTD.
929,Kennedy And Elliott Partnership Llp,KENNEDY AND ELLIOTT PARTNERSHIP LLP
930,Stepping Stones Care Ltd,STEPPING STONES CARE LIMITED
931,Innovate Therapeutic Care Limited,INNOVATE THERAPEUTIC CARE LIMITED
932,Invigor Adolescent Care Limited,INVIGOR ADOLESCENT CARE LIMITED
933,Cascade (banks House) Limited,CASCADE (BANKS HOUSE) LIMITED
934,Hazelmont Care Ltd,HAZELMONT CARE LIMITED
935,Allinonecare Limited,ALLINONECARE LTD
936,James Kids Home Ltd,JAMES KIDS HOME LTD
937,Care 4 Children Residential Services Limited,YOUR CHAPTER LIMITED
938,Witherslack Group,WITHERSLACK GROUP LIMITED
939,Aspris childrens Services Limited,ASPRIS CHILDREN'S SERVICES LIMITED
940,YMCA ROBIN HOOD GROUP,YMCA ROBIN HOOD GROUP
941,TLC Youth Care Ltd,TLC YOUTH CARE LIMITED
942,Slough Children First Limited,SLOUGH CHILDREN FIRST LIMITED
943,Acorn Homes (UK) Ltd,ACORN HOMES (U.K.) LIMITED
944,Hexagon Care Services Ltd,HEXAGON CARE SERVICES LIMITED
945,Compass Childrens Homes Limited,COMPASS CHILDREN'S HOMES LIMITED
946,Thornleigh Camphill Communities Limited,THORNLEIGH CAMPHILL COMMUNITIES LIMITED
947,Cambian Autism Services Ltd,CAMBIAN AUTISM SERVICES LIMITED
948,Exceptional Care Limited,EXCEPTIONAL CARE LIMITED
949,solent Child care LTD,SOLENT CHILD CARE LIMITED
950,Phoenix Care & Education Ltd,PHOENIX CARE & EDUCATION LTD
951,Kites Children Services Limited,KITES CHILDRENS SERVICES LIMITED
952,Beacon Childcare Ltd,BEACON CHILDCARE LTD
953,Cove Care Residential Limited,COVE CARE RESIDENTIAL LIMITED
954,Artemis Support Limited,COMPASS CHILDREN'S HOMES NORTH EAST LIMITED
955,New Horizons nw ltd,NEW HORIZONS (NW) LTD
956,Calcot Services for Children Limited,CALCOT SERVICES FOR CHILDREN LIMITED
957,Benjamin UK Ltd,BENJAMIN UK LTD
958,Aspire Care and Education Services Ltd,ASPIRE CARE AND EDUCATION SERVICES LIMITED
959,ROC Northwest Limited,ROC NORTHWEST LIMITED
960,Beaufort Care Group Limited,BEAUFORT CARE GROUP LIMITED
961,Radical Services Limited,RADICAL SERVICES LIMITED
962,My Choice childrens Homes ltd,MY CHOICE CHILDREN'S HOMES LIMITED
963,Achieving Aspirations Community Interest Company,ACHIEVING ASPIRATIONS COMMUNITY INTEREST COMPANY
964,Area Camden Limited,AREA CAMDEN LIMITED
965,Restorative Social Care Services Ltd,RESTORATIVE SOCIAL CARE SERVICES LTD.
966,SureCare Residential Ltd,SURECARE RESIDENTIAL LTD
967,Cameron & Cooper Limited,CAMERON & COOPER LIMITED
968,Gravitas Care LTD,GRAVITAS CARE LIMITED
969,Parkview Care (Broadstairs) Limited,PARKVIEW CARE (BROADSTAIRS) LIMITED
970,Arc-HD Services Ltd,ARC HD SERVICES LIMITED
971,Swan Cottage Limited,SWAN COTTAGE LIMITED
972,Oasis Adolescent Services Ltd,OASIS ADOLESCENT SERVICES LIMITED
973,Ashwood Childrens Care Home Ltd,ASHWOOD CHILDRENS CARE HOME LTD
974,Albrighton Care Limited,ALBRIGHTON CARE LIMITED
975,Social Care Services (Clayton) Limited,SOCIAL CARE SERVICES (CLAYTON) LIMITED
976,Care Perspectives Limited,CARE PERSPECTIVES LIMITED
977,Action for Children,ACTION FOR CHILDREN
978,Q+,Q+
979,Oak Childcare Plus Ltd,OAK CHILDCARE PLUS LIMITED
980,N H Care Limited,N H CARE LIMITED
981,Protea Care Limited,PROTEA CARE LIMITED
982,Brighter Futures For Children Limited,BRIGHTER FUTURES FOR CHILDREN LIMITED
983,Solace for Children Limited,SOLACE FOR CHILDREN LIMITED
984,Purple Oak Support,PURPLE OAK SUPPORT
985,Kennedy And Elliott Partnership LLP,KENNEDY AND ELLIOTT PARTNERSHIP LLP
986,Homes for Support Limited,HOMES FOR SUPPORT LTD
987,Hapin Care Ltd,HAPIN CARE LTD
988,Heartwood RSL Ltd,HEARTWOOD RSL LTD
989,Care 4 Every Child Ltd,CARE 4 EVERY CHILD LIMITED
990,Brinscall Care,BRINSCALL CARE LIMITED
991,The Ryes College LTD,THE RYES COLLEGE LIMITED
992,Caterpillar Care Services Ltd,CATERPILLAR CARE SERVICES LTD
993,Proactive Care (manchester) ltd,PROACTIVE CARE (MANCHESTER) LTD
994,Life Change Care Ltd,LIFE CHANGE CARE LTD
995,Gracewells Care Ltd,GRACEWELLS CARE LIMITED
996,Empower Residentials Limited,EMPOWER RESIDENTIALS LIMITED
997,Oak House Childrens Home Ltd,OAK HOUSE CHILDRENS HOME LTD
998,Gracebridge Care Ltd,GRACEBRIDGE CARE LIMITED
999,BTTLR LIMITED,BTTLR LIMITED
1000,Woodford childrens Services Limited,WOODFORD CHILDREN'S SERVICES LIMITED
1001,Blossom Care Group Limited,BLOSSOM CARE GROUP LIMITED
1002,Flourish Childrens Services Ltd,FLOURISH CHILDRENS SERVICES LIMITED
1003,Nirmal Homes Limited,NIRMAL HOMES LIMITED
1004,Almond Care childrens Services Ltd,ALMOND CARE CHILDRENS SERVICES LIMITED
1005,HMO NE LTD,HMO NE LTD
1006,Northern Community Pathways Childrens Residential Services Limited,NORTHERN COMMUNITY PATHWAYS CHILDREN'S RESIDENTIAL SERVICES LTD
1007,Safe Haven Adolescent Care Group Limited,SAFE HAVEN ADOLESCENT CARE GROUP LIMITED
1008,MERCIA CHILDREN SERVICES LIMITED,MERCIA CHILDREN SERVICES LIMITED
1009,Solo Independent Living Adolescent Care Services Ltd,SOLO INDEPENDENT LIVING ADOLESCENT CARE SERVICES LTD
1010,Halliwell Homes (Midlands Division) Limited,HALLIWELL HOMES (MIDLANDS DIVISION) LIMITED
1011,Bright Futures Care Ltd,BRIGHT FUTURES CARE LIMITED
1012,The Beeches UK Limited,THE BEECHES UK LIMITED
1013,Willows (Devon) Ltd,WILLOWS (DEVON) LIMITED
1014,Strive To Care Ltd,STRIVE TO CARE LTD
1015,Supporting Hands Care Services Ltd,SUPPORTING HANDS CARE SERVICES LTD
1016,Castle Care Homes,CASTLE CARE HOMES LIMITED
1017,Enhanced Young Persons Care Limited,ENHANCED YOUNG PERSONS' CARE LIMITED
1018,Support And Sustain Care Ltd,SUPPORT AND SUSTAIN CARE LTD
1019,Connect Care solutions limited,CONNECT CARE SOLUTIONS LIMITED
1020,Northamptonshire Childrens Trust Limited,NORTHAMPTONSHIRE CHILDREN'S TRUST LIMITED
1021,Madiba ltd,MADIBA LTD
1022,Oakley House childrens Home Limited,OAKLEY HOUSE CHILDRENS HOME LIMITED
1023,Central & Southern Homes Ltd,CENTRAL & SOUTHERN HOMES LTD
1024,247 Bluebell Care Limited,247 BLUEBELL CARE LIMITED
1025,PURE GRACE HOMES LIMITED,PURE GRACE HOMES LIMITED
1026,Clearwater Care (Hackney) Ltd,CLEARWATER CARE (HACKNEY) LIMITED
1027,Clear Water Care Homes Ltd,CLEAR WATER CARE HOMES LTD
1028,GAC Family Services Ltd,GAC FAMILY SERVICES LIMITED
1029,Care Today ( Childrens Services ) Ltd,CARE TODAY (CHILDRENS SERVICES) LTD
1030,TJY Care ltd,TJY CARE LTD
1031,Forte Care Ltd,FORTE CARE LTD
1032,Young Birch Ltd,YOUNG BIRCH LIMITED
1033,Prosper and Enterprise Limited,PROSPER AND ENTERPRISE LIMITED
1034,Momentum Residential Care Home Ltd,MOMENTUM RESIDENTIAL CARE HOME LTD
1035,Evolve Child care Ltd,EVOLVE CHILD CARE LIMITED
1036,Resi-Action Staffordshire Ltd,RESI- ACTION STAFFORDSHIRE LTD
1037,Huntercombe Young People Ltd,ACTIVE YOUNG PEOPLE LIMITED
1038,Monarch Intervention Services Ltd,MONARCH INTERVENTION SERVICES LIMITED
1039,Care2Care childrens Home Ltd,CARE2CARE CHILDREN'S HOME LTD
1040,I.M.P.A.C.T childrens Residential Care Ltd,I.M.P.A.C.T CHILDREN'S RESIDENTIAL CARE LTD
1041,Parallel Parents Ltd,PARALLEL PARENTS LTD
1042,Oakley House (Kent) Limited,OAKLEY HOUSE (KENT) LIMITED
1043,Protea Care 2 Limited,PROTEA CARE 2 LIMITED
1044,Supreme Child Care ltd,SUPREME CHILD CARE LTD
1045,Camino Care Limited,SUPERCARE HOLDINGS LTD
1046,Halls Homes For Young People Ltd,HALLS HOMES FOR YOUNG PEOPLE LTD
1047,Aegis 24/7 Ltd,AEGIS 24/7 LTD
1048,Hopespring,HOPESPRING
1049,Safety & Focused Care Ltd,SAFETY & FOCUSED CARE LTD
1050,Excel Residential Care LTD,EXCEL RESIDENTIAL CARE LIMITED
1051,Positive Steps Specialist Care Services Limited,POSITIVE STEPS SPECIALIST CARE SERVICES LIMITED
1052,Ashdown Care Homes Limited,ASHDOWN CARE HOMES LTD
1053,Applecast Limited,APPLECAST LIMITED
1054,Truly Care Services Ltd,TRULY CARE SERVICES LTD
1055,Charis Services for Children Ltd,CHARIS SERVICES FOR CHILDREN LTD
1056,Treasure Nest Limited,TREASURE NEST LIMITED
1057,Positive Homes for Positive Futures ltd,POSITIVE HOMES FOR POSITIVE FUTURES LIMITED
1058,PALS Residential Services Ltd,PALS RESIDENTIAL SERVICES LTD
1059,MJ Residential Services,MJ RESIDENTIAL SERVICES LIMITED
1060,Horizon Care Mayfield Lodge Limited,HORIZON CARE MAYFIELD LODGE LIMITED
1061,Cherry Care childrens Home Ltd,CHERRY CARE CHILDREN'S HOME LTD
1062,Vita Spirit Limited,VITA SPIRIT LIMITED
1063,Trax MX Ltd,TRAX MX LTD
1064,Ashford childrens Care Limited,ASHFORD CHILDRENS CARE LIMITED
1065,Family First Care Services Ltd,FAMILY FIRST CARE SERVICES LTD
1066,First Steps Care Ltd,FIRST STEPS CARE LTD
1067,Anchor Care and Education Ltd,ANCHOR CARE AND EDUCATION LTD
1068,St. Caspian Care Limited,ST. CASPIAN CARE LIMITED
1069,GREEN HARVEST CAPITAL CONSULTING LTD,GREEN HARVEST CAPITAL CONSULTING LTD
1070,24/7 SUPPORT UK LIMITED,24/7 SUPPORT UK LIMITED
1071,Abundantia Care Limited,ABUNDANTIA CARE LIMITED
1072,Moncur Group Ltd,SUNBRIDGE CHILDCARE LTD
1073,Acheron Care Limited,ACHERON CARE LIMITED
1074,Roxwell Care Gidea Park Limited,ROXWELL CARE GIDEA PARK LIMITED
1075,Next Step Independence Ltd,NEXT STEP INDEPENDENCE LIMITED
1076,ARGF LIMITED,ARGF LIMITED
1077,Bethel childrens Care Ltd,BETHEL CHILDREN'S CARE LIMITED
1078,Contemporary Concept Care Limited,CONTEMPORARY CONCEPT CARE LIMITED
1079,Northridge Care Group Ltd,NORTHRIDGE CARE GROUP LTD
1080,Real Care Support Ltd.,REAL CARE SUPPORT LIMITED
1081,Nurture Care Group Ltd,NURTURE CARE GROUP LTD
1082,Infinity Care Home Ltd,INFINITY CARE HOME LTD
1083,Sankofa Specialist Care Ltd,SANKOFA SPECIALIST CARE LTD
1084,Carterhatch Homes Limited,CARTERHATCH HOMES LIMITED
1085,Williams Welfare Ltd,WILLIAMS WELFARE LTD
1086,Centre 404,CENTRE 404
1087,Solace Care ClayHall Ltd,SOLACE CARE CLAYHALL LTD
1088,A&R Guardian Services Limited,A&R GUARDIAN SERVICES LIMITED
1089,Kedleston (Wood Grove Childcare) Limited,KEDLESTON (WOOD GROVE CHILDCARE) LIMITED
1090,Helpful Investments Limited,HELPFUL INVESTMENTS LIMITED
1091,Trauma in Mind Ltd,TRAUMA IN MIND LTD
1092,Barracare Ltd,BARRACARE LTD
1093,Allesley Childrens Care Ltd,ALLESLEY CHILDRENS CARE LTD
1094,Ascent Fostering Agency,ASCENT FOSTERING AGENCY LIMITED
1095,Dimensions Care Ltd,3 DIMENSIONS CARE LIMITED
1096,SV Care Services Limited,SV CARE SERVICES LIMITED
1097,We Care Bespoke Limited,WE CARE BESPOKE LTD
1098,Lily Residential Services LTd,LILY RESIDENTIAL SERVICES LTD
1099,Ubuntu Group Limited,UBUNTU GROUP LTD
1100,ALTERNATIVE APPROACH CARE LTD,ELEVATED FUTURES LTD
1101,Procure Care Providers Limited,PROCURE CARE PROVIDERS LIMITED
1102,Kids Inc Residential Services Ltd,KIDS INC RESIDENTIAL SERVICES LTD
1103,Willcob Care Ltd,WILLCOB CARE LTD
1104,Caritas Homes Limited,CARITAS HOMES LIMITED
1105,Bess Solutions Limited,BESS SOLUTIONS LIMITED
1106,Loyal Care Limited,LOYAL CARE LIMITED
1107,Pinnacle Care Provisions Ltd,PINNACLE CARE PROVISIONS LTD
1108,Caring feathers Ltd,CARING FEATHERS LTD
1109,Montage Services Limited,MONTAGE SERVICES LIMITED
1110,Residential Child Care Community (North West) Limited,RESIDENTIAL CHILD CARE COMMUNITY (NORTH WEST) LIMITED
1111,Direct Care childrens Homes,DIRECT CARE CHILDRENS HOMES LTD
1112,Bright Life Living (Stirchley) Ltd,BRIGHT LIFE LIVING (STIRCHLEY) LTD
1113,Advocate Recruitment Ltd,ADVOCATE RECRUITMENT LTD
1114,Ash House Care Ltd,ASH HOUSE CARE LTD
1115,RESILIENCE RESIDENTIAL SERVICES LTD,RESILIENCE RESIDENTIAL SERVICES LTD
1116,Elite childrens Care Group Ltd,ELITE CHILDREN'S CARE GROUP LTD
1117,Catch 22 Charity Limited,CATCH 22 CHARITY LIMITED
1118,Prime Calibre Care Group Ltd,PRIME CALIBRE CARE GROUP LTD
1119,My House Calow Ltd,MY HOUSE CALOW LTD
1120,Treetops childrens Homes Limited,TREETOPS CHILDREN'S HOMES LIMITED
1121,Nelbro Group Limited,NELBRO GROUP LIMITED
1122,Tutelage Care Barking Ltd,TUTELAGE CARE BARKING LTD
1123,Manuel Cornwall Ltd,MANUEL CORNWALL LTD
1124,Care Acre Ltd,CARE ACRE LIMITED
1125,Restoring Lives Ltd,RESTORING LIVES LTD
1126,SUSSEX CHILDRENS CARE LTD,SUSSEX CHILDREN'S CARE LTD
1127,Tutelage care Redbridge Ltd,TUTELAGE CARE REDBRIDGE LTD
1128,Prime Nurture Services Limited,PRIME NURTURE SERVICES LTD
1129,CF Social Work Ltd,C F SOCIAL WORK LIMITED
1130,Rubicon Children and Family Services Ltd,RUBICON CHILDREN & FAMILY SERVICES LIMITED
1131,Cynhenid Care Ltd,CYNHENID CARE LTD
1132,Heathfield (Parkgate) Ltd,HEATHFIELD (PARKGATE) LIMITED
1133,AMMA Childcare Services Ltd,AMMA CHILDCARE SERVICES LTD
1134,Within Reach Services Limited,WITHIN REACH SERVICES LIMITED
1135,GSM Ardent Ltd,GSM ARDENT LIMITED
1136,North Lakes childrens Service Limited,NORTH LAKES CHILDRENS SERVICES LIMITED
1137,Choices Home for Children Limited,CHOICES HOME FOR CHILDREN LIMITED
1138,Castle Homes Care Limited,CASTLE HOMES CARE LIMITED
1139,National Autistic Society (The),NATIONAL AUTISTIC SOCIETY(THE)
1140,Evolution Children Services Limited,EVOLUTION CHILDREN SERVICES LTD
1141,Green View Young People Limited,GREEN VIEW YOUNG PEOPLE LIMITED
1142,Plus One South West Ltd,PLUS ONE (SOUTH WEST) LIMITED
1143,Roundhouse Care Limited,ROUNDHOUSE CARE LIMITED
1144,Aspris New Education Services Limited,ASPRIS NEW EDUCATION SERVICES LIMITED
1145,Carlisle Mencap Limited,CARLISLE MENCAP LIMITED
1146,Central & Southern Homes,CENTRAL & SOUTHERN HOMES LTD
1147,Compass Childrens Homes Ltd,COMPASS CHILDREN'S HOMES LIMITED
1148,Homes 2 inspire,HOMES 2 INSPIRE LIMITED
1149,Consensus Support Services Limited,CONSENSUS SUPPORT SERVICES LIMITED
1150,New Horizons (Stockport) Ltd,NEW HORIZONS (STOCKPORT) LTD
1151,K & G Care Ltd,K & G CARE LTD
1152,Ash House Care LTD,ASH HOUSE CARE LTD
1153,Excel Residential Care Ltd,EXCEL RESIDENTIAL CARE LIMITED
1154,Hillcrest Childrens Services (2) Limited,HILLCREST CHILDRENS SERVICES (2) LIMITED
1155,New Horizons (NW) Ltd,NEW HORIZONS (NW) LTD
1156,Enhanced Young Persons Care LTD,ENHANCED YOUNG PERSONS' CARE LIMITED
1157,The Forge Nuneaton Limited,THE FORGE (NUNEATON) LIMITED
1158,Closer 2 Home Limited,CLOSER 2 HOME LIMITED
1159,Willow Care Group Limited,WILLOW CARE GROUP LIMITED
1160,Lily Residential Services Ltd,LILY RESIDENTIAL SERVICES LTD
1161,New Path Residential Ltd,NEW PATH RESIDENTIAL LTD
1162,Core Children LTD,CORE CHILDREN LTD
1163,Inspirations Leicestershire LTD,INSPIRATIONS LEICESTERSHIRE LIMITED
1164,Resilience Residential Services Ltd,RESILIENCE RESIDENTIAL SERVICES LTD
1165,Chamberlain Residential Care LTD,CHAMBERLAIN RESIDENTIAL CARE LTD
1166,Cherish Childrens Care Ltd,CHERISH CHILDRENS CARE LTD
1167,Gracebridge Care,GRACEBRIDGE CARE LIMITED
1168,Omega care Group LTD,OMEGA CARE GROUP LTD
1169,Winurture Childcare Ltd,WINURTURE CHILDCARE LTD
1170,Detail Personnel Care Limited,DETAIL PERSONNEL CARE LIMITED
1171,YMCA Leicestershire,YMCA LEICESTERSHIRE
1172,Continuum Support - Care Services LTD,CONTINUUM SUPPORT - CARE SERVICES LTD
1173,Impact Childcare and Education Ltd,IMPACT CHILDCARE AND EDUCATION LTD
1174,Your Chapter Holdings Limited,YOUR CHAPTER HOLDINGS LIMITED
1175,Your Chapter LTD,YOUR CHAPTER LIMITED
1176,YMCA Robin Hood Group,YMCA ROBIN HOOD GROUP
1177,Parkwood Care,PARKWOOD CARE LIMITED
1178,OLIVE TREE RESIDENTIAL CARE LIMITED,OLIVE TREE RESIDENTIAL CARE LIMITED
1179,Active Young People Limited,ACTIVE YOUNG PEOPLE LIMITED
1180,R.E.A.C.H CHC LTD,R.E.A.C.H CHC LIMITED
1181,Sussex childrens Care LTD,SUSSEX CHILDREN'S CARE LTD
1182,SWAAY Child & Adolescent Services Ltd,SWAAY CHILD AND ADOLESCENT SERVICES LIMITED
1183,Doonamis Limited,DOONAMIS LIMITED
1184,Theracare Homes Limited,THERACARE HOMES LIMITED
1185,Purple Ash Limited,PURPLE ASH LIMITED
1186,Beaufort care Group,BEAUFORT CARE GROUP LIMITED
1187,Direct Care Childrens Homes Ltd,DIRECT CARE CHILDRENS HOMES LTD
1188,Aspiration House Limited,ASPIRATION HOUSE LIMITED
1189,Branas Isaf (Holdings) Ltd,BRANAS ISAF (HOLDINGS) LIMITED
1190,MY3 Limited,MY3 LIMITED
1191,High View childrens Services Limited,HIGH VIEW CHILDRENS SERVICES LIMITED
1192,Fairways Care (UK) Limited,FAIRWAYS CARE (UK) LIMITED
1193,Support and Sustain Care Ltd,SUPPORT AND SUSTAIN CARE LTD
1194,Resolute Care LTD,RESOLUTE CARE LTD
1195,Jeeves Care Group Ltd,JEEVES CARE GROUP LIMITED
1196,Birchwood childrens Services Ltd,BIRCHWOOD CHILDRENS SERVICES LIMITED
1197,G B A Care Limited,G B A CARE LIMITED
1198,Parallel Parents Ltd.,PARALLEL PARENTS LTD
1199,Accalia Care Services Ltd.,ACCALIA CARE SERVICES LTD
1200,Personal Security Service Limited,PERSONAL SECURITY SERVICE LIMITED
1201,ARTEMIS SUPPORT LIMITED,COMPASS CHILDREN'S HOMES NORTH EAST LIMITED
1202,Good Foundations ltd,GOOD FOUNDATION LTD
1203,Cannon Children Services Limited,CANNON CHILDREN SERVICES LIMITED
1204,SHALAMAR CHILDREN LIMITED,SHALAMAR CHILDREN LIMITED
1205,Berry Gifford LTD,BERRY GIFFORD LTD
1206,Outbound Care Limited,OUTBOUND CARE LIMITED
1207,Real Care Support Ltd,REAL CARE SUPPORT LIMITED
1208,Azalea Care Ltd,AZALEA CARE LTD
1209,Moonreach LTD,MOONREACH LIMITED
1210,Cherry Trees Care Ltd,CHERRY TREES CARE LTD
1211,Rise Above Care Ltd,RISE ABOVE CARE LTD
1212,Helm Care Services Ltd,HELM CARE SERVICES LTD
