"","Organisation","Organisation_fame_search","Company.name"
"565","Homes 2 Inspire Limited","Homes 2 Inspire Limited","HOMES 2 INSPIRE LIMITED"
"566","Silverlining Childcare Limited","Silverlining Childcare Limited","STRENGTHENING SUPPORT SERVICES LTD"
"567","Proactive Care (Manchester) Ltd","Proactive Care (Manchester) Ltd","PROACTIVE CARE (MANCHESTER) LTD"
"568","Gravitas Care Ltd","Gravitas Care Ltd","GRAVITAS CARE LIMITED"
"569"," swan Cottage Limited","swan Cottage Limited","SWAN COTTAGE LIMITED"
"570","Apex Children's Services","Apex childrens Services","APEX CHILDRENS SERVICES LTD"
"571","Pathway Care Solutions Ltd","Pathway Care Solutions Ltd","PATHWAY CARE SOLUTIONS LIMITED"
"572","Albrighton Care","Albrighton Care","ALBRIGHTON CARE HOMES LTD"
"573","Skyline Child Care Ltd","Skyline Child Care Ltd","SKYLINE CHILD CARE LIMITED"
"574","Positive Individual Proactive Support Limited","Positive Individual Proactive Support Limited","POSITIVE INDIVIDUAL PROACTIVE SUPPORT LIMITED"
"575","Horizon Transitional Care Ltd","Horizon Transitional Care Ltd","HORIZON TRANSITIONAL CARE LTD"
"576","Woodford Children's Home Ltd","Woodford childrens Home Ltd","WOODFORD CHILDREN'S HOME LIMITED"
"577","Garway Young People Ltd","Garway Young People Ltd","GARWAY YOUNG PEOPLE LIMITED"
"578","Nurture Me Psychological Services Limited","Nurture Me Psychological Services Limited","NURTURE ME PSYCHOLOGICAL SERVICES LTD"
"579","The Partnership Of Care Today Children's Services","Care Today Childrens Services childrens Services",NA
"580","Tab Care And Support Limited","Tab Care And Support Limited","TAB CARE AND SUPPORT LTD"
"581","Foundations Children & Family Services Ltd","STEP UP CHILDREN AND FAMILY SERVICES LIMITED","STEP UP CHILDREN AND FAMILY SERVICES LIMITED"
"582","Options Autism (4) Ltd","Options Autism (4) Ltd","OPTIONS AUTISM (4) LIMITED"
"583","Discovered Limited","Discovered Limited","DISCOVERED LIMITED"
"584","Tees-Valley Care Limited","Tees-Valley Care Limited","TEES-VALLEY CARE LIMITED"
"585","Heathcotes Cs Ltd","Heathcotes Cs Ltd","HEATHCOTES CS LIMITED"
"586","Birmingham Children's Trust Community Interest Company","Birmingham childrens Trust Community Interest Company","BIRMINGHAM CHILDREN'S TRUST COMMUNITY INTEREST COMPANY"
"587","Evoke Care Limited","Evoke Care Limited","EVOKE CARE GROUP LIMITED"
"588","The Mulberry Bush Organisation Ltd","The Mulberry Bush Organisation Ltd","THE MULBERRY BUSH ORGANISATION LIMITED"
"589","Invested Childcare Limited","Invested Childcare Limited","INVESTED CHILDCARE LTD"
"590","Acorn Children's Homes (Branston) Ltd","Acorn childrens Homes (Branston) Ltd","ACORN CHILDREN'S HOME (BRANSTON) LTD"
"591","All Round Care Ltd","All Round Care Ltd","ALL ROUND CARE LTD"
"592","Inspire Social Care Services Ltd","Inspire Social Care Services Ltd","RESTORATIVE SOCIAL CARE SERVICES LTD."
"593","De Novo Care Ltd","De Novo Care Ltd","'DE NOVO' CARE LTD"
"594","New Roots Children's Services","New Roots childrens Services","NEW ROOTS CHILDREN'S SERVICES LIMITED"
"595","Genesis CTE Ltd","Genesis CTE Ltd","GENESIS CTE LIMITED"
"596","Blue Elephant Childcare Ltd","Blue Elephant Childcare Ltd","BLUE ELEPHANT CHILDCARE LTD"
"597","Mig House Residential Care Home Ltd","Mig House Residential Care Home Ltd","MIG HOUSE RESIDENTIAL CARE HOME LIMITED"
"598","Aspire House Ltd","Aspire House Ltd","ASPIRE HOUSE LTD"
"599","Smoothstone Care And Education Ltd","Smooth stone Care And Education Ltd","SMOOTH STONE CARE AND EDUCATION LIMITED"
"600","First Blue Healthcare Limited","First Blue Healthcare Limited","FIRST BLUE HEALTHCARE LIMITED"
"601","Lioncare Ltd Operating As The Lioncare Group","Lioncare Ltd","LIONCARE LIMITED"
"602","Milestones Care Homes Ltd","Milestones Care Homes Ltd","MILESTONES CARE HOMES LTD"
"603","Ivie Lodge Ltd","Ivie Lodge Ltd","IVIE LODGE LIMITED"
"604","St Elizabeth's Centre","St Elizabeths Centre","ST ELIZABETH'S CENTRE"
"605","Progressive Care Limited","Progressive Care Limited","PROGRESSIVE CARE LIMITED"
"606","Keys Child Care Limited","Keys Child Care Limited","KEYS CHILD CARE LIMITED"
"607","Care Afloat Ltd","Care Afloat Ltd","CARE AFLOAT LTD."
"608","Keys Education Ltd","Keys Education Ltd","KEYS EDUCATION LIMITED"
"609","MacIntyre","MacIntyre","MACINTYRE HUDSON LLP"
"610","Future In Mind","Future In Mind","FUTURE IN MIND LIMITED"
"611","Mr Jim Buchanan & Mrs Ivy Thompson","Mr Jim Buchanan & Mrs Ivy Thompson",NA
"612","Crystal Care Solutions","Crystal Care Solutions","CRYSTAL CARE SOLUTIONS LIMITED"
"613","Full Circle Care Ltd","Full Circle Care Ltd","FULL CIRCLE CARE LTD"
"614","ERA Care Limited 5921904 ","ERA Care Limited","ERA CARE LIMITED"
"615","Able Health Care Ltd","Able Health Care Ltd","CANE & ABLE HEALTH CARE LIMITED"
"616","Teen-Works Care Ltd","Teen-Works Care Ltd","TEEN-WORKS CARE LIMITED"
"617","Adecyn Childrens Homes Ltd","Adecyn Childrens Homes Ltd","ADECYN CHILDREN'S HOME LTD"
"618","Inspirations Leicestershire Ltd","Inspirations Leicestershire Ltd","INSPIRATIONS LEICESTERSHIRE LIMITED"
"619","Continuum Support Care Services Ltd","Continuum Support Care Services Ltd","CONTINUUM SUPPORT - CARE SERVICES LTD"
"620","Back On Track Children's Services Se Ltd.","Back On Track childrens Services Se Ltd.","BACK ON TRACK CHILDREN'S SERVICES SE LTD"
"621","Steps 4 Life Care Limited","Steps 4 Life Care Limited","STEPS 4 LIFE CARE LTD"
"622","Absolute Childrens Services Ltd","Absolute Childrens Services Ltd","ABSOLUTE CHILDRENS SERVICES LTD"
"623","Kedleston (High Peak School) Limited ","Kedleston (High Peak School) Limited","KEDLESTON (HIGH PEAK SCHOOL) LIMITED"
"624","Juvenis Care Services Ltd.","ACCALIA CARE SERVICES LTD.","ACCALIA CARE SERVICES LTD"
"625","North East Specialist Therapeutic Services Cic","North East Specialist Therapeutic Services Cic","NORTH EAST SPECIALIST THERAPEUTIC SERVICES CIC"
"626","United Health Limited","United Health Limited","YCH (NO.2) PLC"
"627","Clouds Children's Care Ltd","Clouds childrens Care Ltd","CLOUDS CHILDRENS CARE LIMITED"
"628","Keys BR Limited","Keys BR Limited","KEYS BR LIMITED"
"629","Slough Children's Services Trust Limited","SLOUGH CHILDREN FIRST LIMITED","SLOUGH CHILDREN FIRST LIMITED"
"630","A & T Home Limited","A & T Home Limited","A & T HOME LIMITED"
"631","Acorn Homes (uk) Limited","Acorn Homes (uk) Limited","ACORN HOMES (UK) LIMITED"
"632","Next Stage 4 Life Ltd","Next Stage 4 Life Ltd","NEXT STAGE 4 LIFE LTD"
"633","Inspire Childrens Services","Inspire Childrens Services","INSPIRE CHILDRENS SERVICES LIMITED"
"634","Resolute Care","Resolute Care","RESOLUTE CARE LTD"
"635","Keys KIN Ltd","Keys KIN Ltd","KEYS KIN LIMITED"
"636","Moonreach Limited","Moonreach Limited","MOONREACH LIMITED"
"637","Meadows Care Limited","Meadows Care Limited","MEADOWS CARE LIMITED"
"638","Pss Care Group Limited","Pss Care Group Limited","PSS CARE GROUP LIMITED"
"639","Beacon Childcare Limited","Beacon Childcare Limited","BEACON CHILDCARE LTD"
"640","Total Care Matters Ltd","Total Care Matters Ltd","TOTAL CARE MATTERS LTD"
"641","Birtenshaw ","Birtenshaw","BIRTENSHAW"
"642","Lytham Care Ltd","Lytham Care Ltd","LYTHAM CARE LIMITED"
"643","Happy Group (uk) Limited","Happy Group (uk) Limited","HAPPY GROUP (UK) LIMITED"
"644","Keys Educational Services Limited","Keys Educational Services Limited","KEYS EDUCATIONAL SERVICES LIMITED"
"645","Keys Direct Care Limited","Keys Direct Care Limited","KEYS DIRECT CARE LIMITED"
"646","The Place Young People's Company Limited","The Place Young Peoples Company Limited","THE PLACE YOUNG PEOPLES COMPANY LIMITED"
"647","Wessex College Limited","Wessex College Limited","WESSEX COLLEGE LIMITED"
"648","Keys Care Ltd","Keys Care Ltd","KEYS CARE LIMITED"
"649","Phoenix Learning & Care Holdings Limited","Phoenix Learning & Care Holdings Limited","PHOENIX LEARNING & CARE HOLDINGS LIMITED"
"650","Blue Mountain Homes Limited","Blue Mountain Homes Limited","BLUE MOUNTAIN HOMES LTD."
"651","Keys Cwc Ltd","Keys Cwc Ltd","KEYS CWC LIMITED"
"652","New Forest Care","New Forest Care","NEW FOREST CARE LIMITED"
"653","Unity Residential Care Services Limited","Unity Residential Care Services Limited","UNITY RESIDENTIAL CARE SERVICES LIMITED"
"654","Homes 2 Inspire Ltd","Homes 2 Inspire Ltd","HOMES 2 INSPIRE LIMITED"
"655","Orchard Children Homes Ltd","Orchard Children Homes Ltd","ORCHARD CHILDREN HOMES LTD"
"656","Apex Childrens Services","Apex Childrens Services","APEX CHILDRENS SERVICES LTD"
"657","Social Care Services Ltd","Social Care Services Ltd","RESTORATIVE SOCIAL CARE SERVICES LTD."
"658","Care 2 Share Ltd","Care 2 Share Ltd","CARE 2 SHARE LIMITED"
"659","4PureHeart Limited","4PureHeart Limited","4PUREHEART LIMITED"
"660","Keys Nhcc Ltd","Keys Nhcc Ltd","KEYS NHCC LIMITED"
"661","Oak Childcare Plus","Oak Childcare Plus","OAK CHILDCARE PLUS LIMITED"
"662","Invested Childcare Ltd","Invested Childcare Ltd","INVESTED CHILDCARE LTD"
"663","Osei Minkah Care Ltd","Osei Minkah Care Ltd","OSEI MINKAH CARE LIMITED"
"664","United Children's Services Limited","United childrens Services Limited","UNITED CHILDREN'S SERVICES LIMITED"
"665","Keys QTC Limited","Keys QTC Limited","KEYS QTC LIMITED"
"666","Wrottesley Care Limited","Wrottesley Care Limited","WROTTESLEY CARE LIMITED"
"667","Joshs Place Limited","Joshs Place Limited","AR CURAM LIMITED"
"668","Willows Lull","Willows Lull","WILLOWS LULL"
"669","Hazelmont Social Care Ltd","Hazelmont Social Care Ltd","HAZELMONT SOCIAL CARE LIMITED"
"670","Jigsaw Therapeutic Care Limited","Jigsaw Therapeutic Care Limited","JIGSAW THERAPEUTIC CARE LTD"
"671","Changing Lives Care Group Limited","Changing Lives Care Group Limited","CHANGING LIVES CARE GROUP LTD"
"672","Wyncare Limited","Wyncare Limited","WYNN HOMES LIMITED"
"673","1848 Ltd","1848 Ltd","CARDIAC SCIENCE HOLDINGS (UK) LIMITED"
"674","Cornerways Care Ltd","Cornerways Care Ltd","CORNERWAYS CARE LTD"
"675","Accalia Care Services Ltd","Accalia Care Services Ltd","ACCALIA CARE SERVICES LTD"
"676","Protea Care Ltd","Protea Care Ltd","PRO SUPPORT LTD"
"677","Harmony Childcare Residential Homes Ltd","Harmony Childcare Residential Homes Ltd","HARMONY CHILDCARE RESIDENTIAL HOMES LTD"
"678","A&m Care Solutions Ltd - T/a Metropolitan Care Solutions","A&m Care Solutions Ltd -","A&M CARE SOLUTIONS LTD"
"679","Heartwood Rsc Ltd","Heartwood Rsc Ltd","HEARTWOOD RSC LTD"
"680","The Partnership Of Care Today","Care Today Childrens Services","CARE TODAY (CHILDRENS SERVICES) LTD"
"681","Vitality Care Residential Limited","Vitality Care Residential Limited","VITALITY CARE RESIDENTIAL LIMITED"
"682","4 Keys Care Ltd","4 Keys Care Ltd","4 KEYS CARE LTD"
"683","Nuevavida Ne Ltd","Nuevavida Ne Ltd","NUEVAVIDA NE LTD"
"684","Brighter Futures For Children","Brighter Futures For Children","BRIGHTER FUTURES FOR CHILDREN LIMITED"
"685","St Joseph's Specialist Trust","St Josephs Specialist Trust","ST JOSEPH'S SPECIALIST TRUST"
"686","Pcf Residential Childcare Ltd","Pcf Residential Childcare Ltd","PCF RESIDENTIAL CHILDCARE LTD"
"687","Solace Care Partners Limited","Solace Care Partners Limited","SOLACE CARE PARTNERS LTD"
"688","Cherished And Devoted Care","Cherished And Devoted Care","CHERISHED AND DEVOTED CARE LTD"
"689","Solace For Children","Solace For Children","SOLACE FOR CHILDREN LIMITED"
"690","Andover And District Mencap","Andover And District Mencap","PURPLE OAK SUPPORT"
"691","Leicester Young Mens Christian Association (incorporated) (the)","YMCA LEICESTERSHIRE","YMCA LEICESTERSHIRE"
"692","Abbey Green Therapeutic Children's Services Ltd","Abbey Green Therapeutic childrens Services Ltd","ABBEY GREEN THERAPEUTIC CHILDREN'S SERVICES LTD"
"693","Crystal Care Solutions Limited","Crystal Care Solutions Limited","CRYSTAL CARE SOLUTIONS LIMITED"
"694","Acorn Residential Care Ltd","Acorn Residential Care Ltd","ACORN RESIDENTIAL CARE LTD"
"695","Nml Care Ltd","Nml Care Ltd","NML CARE LIMITED"
"696","Leeward Care Ltd","Leeward Care Ltd","LEEWARD CARE LIMITED"
"697","Hand In Hand Childcare Ltd","Hand In Hand Childcare Ltd","HAND IN HAND CHILDCARE LTD"
"698","Pelican Care Group Ltd","Pelican Care Group Ltd","PELICAN CARE GROUP LTD"
"699","5ab Care Ltd","5ab Care Ltd","5AB CARE LTD"
"700","Prime Adolescence Limited","Prime Adolescence Limited","PRIME ADOLESCENCE LIMITED"
"701","Roc Family Support Ltd","ROC FAMILY TIME LIMITED","ROC FAMILY TIME LIMITED"
"702","Sbl Care Services (uk) Ltd","SBL CARESERVICES (uk) Ltd","SBL CARESERVICES (UK) LTD"
"703","Pathways Residential Child Care Larkhill House Limited","CEDARWAYS RESIDENTIAL CHILD CARE LARKHILL HOUSE LIMITED","CEDARWAYS RESIDENTIAL CHILD CARE LARKHILL HOUSE LIMITED"
"704","Interactive Development Residential Limited","Interactive Development Residential Limited","INTERACTIVE DEVELOPMENT RESIDENTIAL LIMITED"
"705","Orbis Education And Care Limited","Orbis Education And Care Limited","ORBIS EDUCATION AND CARE LIMITED"
"706","New Futures (children) Services","New Futures (children) Services","NEW FUTURES (CHILDREN) SERVICES LTD"
"707","Investing In Children Cic","Investing In Children Cic","INVESTING IN CHILDREN CIC"
"708","Florinee Homes Ltd","Florinee Homes Ltd","FLORINEE HOMES LTD"
"709","Longboat Special Education Ltd","Longboat Special Education Ltd","LONGBOAT SPECIAL EDUCATION LTD."
"710","Absolute Children's Care Limited","Absolute childrens Care Limited","ABSOLUTE CHILDRENS CARE LTD"
"711","Ivory Cottage Ltd","Ivory Cottage Ltd","IVORY COTTAGE LTD"
"712","Homes For Support Ltd","Homes For Support Ltd","HOMES FOR SUPPORT LTD"
"713","Jasmine Gardens Private Ltd","Jasmine Gardens Private Ltd","JASMINE GARDENS PRIVATE LTD"
"714","Above And Beyond Residential Care Ltd","Above And Beyond Residential Care Ltd","ABOVE AND BEYOND RESIDENTIAL CARE LTD"
"715","Heartwood Rsl Ltd","Heartwood Rsl Ltd","HEARTWOOD RSL LTD"
"716","Mutual Care Limited","Mutual Care Limited","MUTUAL CARE LIMITED"
"717","Fusion College Ltd","Fusion College Ltd","FUSION COLLEGE LTD"
"718","Sea Sanctuary","Sea Sanctuary","ARC HEALTHCARE SOUTHWEST"
"719","Higher Hopes Ltd","Higher Hopes Ltd","HIGHER HOPES LTD"
"720","Cascade (Banks House) Limited","Cascade (Banks House) Limited","CASCADE (BANKS HOUSE) LIMITED"
"721","Cf Support Services Limited","Cf Support Services Limited","CF SUPPORT SERVICES LIMITED"
"722","Bay View Child Care Ltd","Bay View Child Care Ltd","BAY VIEW CHILD CARE LIMITED"
"723","Brinscall Care Limited","Brinscall Care Limited","BRINSCALL CARE LIMITED"
"724","Lighthouse Southwest Ltd","Lighthouse Southwest Ltd","LIGHTHOUSE SOUTHWEST LTD"
"725","Kattz (yh) Ltd","Kattz (yh) Ltd","KATTZ (YH) LTD"
"726","Tressell Homes Ltd","Tressell Homes Ltd","TRESSELL HOMES LTD"
"727","Pure Care Homes Ltd","Pure Care Homes Ltd","PURE CARE HOMES LTD"
"728","Proactive Care","Proactive Care","PROACTIVE CARE SERVICES LIMITED"
"729","Footsteps A Path To Change 08 Ltd","Footsteps A Path To Change 08 Ltd","FOOTSTEPS A PATH TO CHANGE 08 LIMITED"
"730","Jasper Education And Support Services Limited","Jasper Education And Support Services Limited","JASPER EDUCATION AND SUPPORT SERVICES LIMITED"
"731","Octagon Care Ltd","Octagon Care Ltd","OCTAGON CARE LTD"
"732","Caretech Community Services Limited","Caretech Community Services Limited","CARETECH COMMUNITY SERVICES LIMITED"
"733","Keys Stepping Stones Limited","Keys Stepping Stones Limited","KEYS STEPPING STONES LIMITED"
"734","The Partnership of The Chartwell Group ","The Partnership of The Chartwell Group",NA
"735","Overley Hall  Limited","Overley Hall Limited","OVERLEY HALL LIMITED"
"736","Ownlife Limited","Ownlife Limited","OWNLIFE LIMITED"
"737","Seashell Trust ","Seashell Trust","SEASHELL TRUST"
"738","After Care Nw Limited","After Care Nw Limited","AFTER CARE (N W) LIMITED"
"739","Keys Active 8 Care Ltd","Keys Active 8 Care Ltd","KEYS ACTIVE 8 CARE LIMITED"
"740","Keys ACE Limited","Keys ACE Limited","KEYS ACE LIMITED"
"741","The Vine Residential Services (tvrs) Ltd.","The Vine Residential Services (tvrs) Ltd.","THE VINE RESIDENTIAL SERVICES (TVRS) LTD"
"742","Physis Quantum","Physis Quantum","PHYSIS QUANTUM LIMITED"
"743","Oak  house Childrens Home Ltd","Oak house Childrens Home Ltd","OAK HOUSE CHILDRENS HOME LTD"
"744","Serenity Specialist Care Ltd","Serenity Specialist Care Ltd","SERENITY SPECIALIST CARE LIMITED"
"745","Kattz (AH) Ltd","Kattz (AH) Ltd","KATTZ (AH) LTD"
"746","Cherish Children's Care Ltd","Cherish childrens Care Ltd","CHERISH CHILDRENS CARE LTD"
"747","Footsteps To Futures Limited","Footsteps To Futures Limited","FOOTSTEPS TO FUTURES LIMITED"
"748","The Exeter Royal Academy For Deaf Education","Exeter Royal Academy For Deaf Education","EXETER ROYAL ACADEMY FOR DEAF EDUCATION."
"749","DMR Services Ltd","DMR Services Ltd","DMR SERVICES LIMITED"
"750","Willows(Devon)Ltd","Willows(Devon)Ltd","WILLOWS (DEVON) LIMITED"
"751","Halliwell Homes","Halliwell Homes","HALLIWELL HOMES LIMITED"
"752","Union House Nw Ltd","Union House Nw Ltd","UNION HOUSE NW LTD"
"753","Calcot Services For Children Ltd","Calcot Services For Children Ltd","CALCOT SERVICES FOR CHILDREN LIMITED"
"754","Bay View Child Care","Bay View Child Care","BAY VIEW CHILD CARE LIMITED"
"755","Thrive Childcare Services Ltd","Thrive Childcare Services Ltd","THRIVE CHILDCARE SERVICES LTD"
"756","Conquered Limited","Conquered Limited","CONQUERED LIMITED"
"757","Champion Children (fig Tree) Limited","Champion Children (fig Tree) Limited","CHAMPION CHILDREN (FIG TREE) LIMITED"
"758","The National Centre For Young People With Epilepsy","The National Centre For Young People With Epilepsy","THE NATIONAL CENTRE FOR YOUNG PEOPLE WITH EPILEPSY CHARITABLE TRUST"
"759","Strive To Care LTD","Strive To Care LTD","STRIVE TO CARE LTD"
"760","Nugent Care 2019","Nugent Care 2019","NUGENT CARE 2019"
"761","Zone Central Ltd","Zone Central Ltd","ZONE CENTRAL LTD"
"762","New Horizons-(stockport) Ltd","New Horizons-(stockport) Ltd","NEW HORIZONS (STOCKPORT) LTD"
"763","Carlar Care Limited","Carlar Care Limited","CARLAR CARE LIMITED"
"764","Sunrise Hill Care Ltd.","Sunrise Hill Care Ltd.","SUNRISE HILL CARE LTD"
"765","Stepping Stones Childrens Homes Limited","Stepping Stones Childrens Homes Limited","STEPPING STONES CHILDRENS HOMES LIMITED"
"766","Solace Care 7kings Ltd","Solace Care 7kings Ltd","SOLACE CARE 7KINGS LTD"
"767","Young Foundations Ltd","Young Foundations Ltd","YOUNG FOUNDATIONS LIMITED"
"768","Horizon Care and Education Group Limited","Horizon Care and Education Group Limited","HORIZON CARE AND EDUCATION GROUP LIMITED"
"769","Smooth Stone Care & Education Ltd","Smooth Stone Care & Education Ltd","SMOOTH STONE CARE AND EDUCATION LIMITED"
"770","Inspire Care (UK) Limited","Inspire Care (UK) Limited","INSPIRE CARE (UK) LIMITED"
"771","Together for Children Sunderland Limited","Together for Children Sunderland Limited","TOGETHER FOR CHILDREN SUNDERLAND LIMITED"
"772","ROC Northwest","ROC Northwest","ROC NORTHWEST LIMITED"
"773","Pebbles Care Limited","Pebbles Care Limited","PEBBLES CARE LIMITED"
"774","Child First Ltd","Child First Ltd","CHILD FIRST LIMITED"
"775","Gracewells Care Limited","Gracewells Care Limited","GRACEWELLS CARE LIMITED"
"776","Hopscotch Care Ltd","Hopscotch Care Ltd","HOPSCOTCH CARE LIMITED"
"777","Hillcrest Children's Services (2) Limited","Hillcrest childrens Services (2) Limited","HILLCREST CHILDRENS SERVICES (2) LIMITED"
"778","Bright Futures Care Limited","Bright Futures Care Limited","BRIGHT FUTURES CARE LIMITED"
"779","Keys QTC","Keys QTC","KEYS QTC LIMITED"
"780","Apex Childrens Services Ltd","Apex Childrens Services Ltd","APEX CHILDRENS SERVICES LTD"
"781","Budwood Limited","Budwood Limited","BUDWOOD LIMITED"
"782","Stepping Stones Care (Midlands) Limited","Stepping Stones Care (Midlands) Limited","STEPPING STONES CARE (MIDLANDS) LIMITED"
"783","Inspirations Care Limited","Inspirations Care Limited","INSPIRATION CARE LIMITED"
"784","Monach Intervention Services Limited","Monarch Intervention Services Limited","MONARCH INTERVENTION SERVICES LIMITED"
"785","Arc HD Services Ltd","Arc HD Services Ltd","ARC HD SERVICES LIMITED"
"786","Attivo Care Ltd","Attivo Care Ltd","ATTIVO CARE LIMITED"
"787","Pasture View Nurturing Homes Ltd","Pasture View Nurturing Homes Ltd","PASTURE VIEW NURTURING HOMES LTD."
"788","Advanced Adolescent Care Solutions Ltd","Advanced Adolescent Care Solutions Ltd","ADVANCED ADOLESCENT CARE SOLUTIONS LIMITED"
"789","Sw Education & Care","Sw Education & Care","SW EDUCATION & CARE LTD"
"790","ASTON CHILDREN'S CARE LTD","ASTON childrens CARE LTD","ASTON CHILDREN'S CARE LTD"
"791","Channels & Choices Kent LLP","Channels & Choices Kent LLP","CHANNELS AND CHOICES KENT LLP"
"792","Semi-Independent House Ltd","Semi-Independent House Ltd","SEMI-INDEPENDENT HOUSE LIMITED"
"793","Enhanced Young Persons Care Ltd","Enhanced Young Persons Care Ltd","ENHANCED YOUNG PERSONS' CARE LIMITED"
"794","New Horizons (nw) ltd","New Horizons (nw) ltd","NEW HORIZONS (NW) LTD"
"795","Achieving Aspirations CIC","Achieving Aspirations COMMUNITY INTEREST COMPANY","ACHIEVING ASPIRATIONS COMMUNITY INTEREST COMPANY"
"796","Seashell Trust","Seashell Trust","SEASHELL TRUST"
"797","KESWICK CARE LTD","KESWICK CARE LTD","KESWICK CARE LIMITED"
"798","Harmony Residential Homes Ltd ","Harmony Residential Homes Ltd","HARMONY RESIDENTIAL HOMES LTD"
"799","Spring Meadow Children's Home","Spring Meadow childrens Home","SPRING MEADOW CHILDRENS HOME LTD"
"800","Laska Care And Education Ltd","Laska Care And Education Ltd","LASKA CARE AND EDUCATION LTD"
"801","South West Complex Care Services","South West Complex Care Services","SOUTH WEST COMPLEX CARE SERVICES LTD"
"802","Gordon Care Services Limited","Gordon Care Services Limited","GORDON CARE SERVICES LIMITED"
"803","Children & Adolescents Placement Provisions Ltd","Children & Adolescents Placement Provisions Ltd","CHILDREN & ADOLESCENTS PLACEMENT PROVISIONS LTD"
"804","Hill Top Childrens Care Limited","Hill Top Childrens Care Limited","HILL TOP CHILDRENS CARE LIMITED"
"805","Timeout Childrens Homes Ltd","Timeout Childrens Homes Ltd","TIMEOUT CHILDRENS HOMES LIMITED"
"806","Anderida Adolescent Care Ltd","Anderida Adolescent Care Ltd","ANDERIDA ADOLESCENT CARE LIMITED"
"807","Birtenshaw","Birtenshaw","BIRTENSHAW"
"808","Next Stage 4Life LTD","Next Stage 4 Life LTD","NEXT STAGE 4 LIFE LTD"
"809","Worcestershire Children First","Worcestershire Children First","WORCESTERSHIRE CHILDREN FIRST"
"810","Homes For Support Limited","Homes For Support Limited","HOMES FOR SUPPORT LTD"
"811","Social Care Services ( clayton ) Ltd","Social Care Services ( clayton ) Ltd","SOCIAL CARE SERVICES (CLAYTON) LIMITED"
"812","XYP Childcare Limited","XYP Childcare Limited","XYP CHILDCARE LIMITED"
"813","Swan Children's Homes Ltd","Swan childrens Homes Ltd","SWAN CHILDREN'S HOMES LTD"
"814","Sunlight Children's Care Limited","Sunlight childrens Care Limited","SUNLIGHT CHILDREN'S CARE LIMITED"
"815","Positive Outcomes Childcare Limited","Positive Outcomes Childcare Limited","POSITIVE OUTCOMES CHILDCARE LIMITED"
"816","Footsteps to Futures Limited","Footsteps to Futures Limited","FOOTSTEPS TO FUTURES LIMITED"
"817","Penn Inspires Ltd","Penn Inspires Ltd","PENN INSPIRES LTD"
"818","Oak house Childrens Home Ltd","Oak house Childrens Home Ltd","OAK HOUSE CHILDRENS HOME LTD"
"819","SBL CARESERVICES (UK) LTD","SBL CARESERVICES (UK) LTD","SBL CARESERVICES (UK) LTD"
"820","Vcare - 24 Limited","Vcare - 24 Limited","VCARE-24 LIMITED"
"821","Holywell Children's Services Limited","Holywell childrens Services Limited","HOLYWELL CHILDREN'S SERVICES LIMITED"
"822","Aspiration House Ltd","Aspiration House Ltd","ASPIRATION HOUSE LIMITED"
"823","A-Triangle Care Ltd","A-Triangle Care Ltd","A-TRIANGLE CARE LTD"
"824","Omega Care Group Ltd","Omega Care Group Ltd","OMEGA CARE GROUP LTD"
"825","Phoenix Childcare Ltd","Phoenix Childcare Ltd","PHOENIX CHILDCARE LIMITED"
"826","Pure Care Homes ltd","Pure Care Homes ltd","PURE CARE HOMES LTD"
"827","Pathways Care Group","Pathways Care Group","PATHWAYS CARE GROUP LIMITED"
"828","Lakeside @ Our Place Limited","Lakeside@OurPlace Limited","LAKESIDE@OURPLACE LIMITED"
"829","Flourish (Gloucestershire) Limited","Flourish (Gloucestershire) Limited","FLOURISH (GLOUCESTERSHIRE) LIMITED"
"830","Educare Support Limited","Educare Support Limited","EDUCARE SUPPORT LIMITED"
"831","Safe Places For Children Uk","Safe Places For Children Uk","SAFE PLACES FOR CHILDREN UK"
"832","Berry Gifford Ltd","Berry Gifford Ltd","BERRY GIFFORD LTD"
"833","Cherish Children's Care","Cherish childrens Care","CHERISH CHILDRENS CARE LTD"
"834","Haven Care Group Ltd","Haven Care Group Ltd","HAVEN CARE GROUP LIMITED"
"835","Restorative social care services ltd","Restorative social care services ltd","RESTORATIVE SOCIAL CARE SERVICES LTD."
"836","Blossom Care Group Ltd","Blossom Care Group Ltd","BLOSSOM CARE GROUP LIMITED"
"837","Flourish Children's Services Limited","Flourish childrens Services Limited","FLOURISH CHILDRENS SERVICES LIMITED"
"838","Nirmal Homes Ltd","Nirmal Homes Ltd","NIRMAL HOMES LIMITED"
"839","CASC (BARROW) LIMITED","CASC (BARROW) LIMITED","CASC (BARROW) LIMITED"
"840","Progress Children's Services Limited","Progress childrens Services Limited","PROGRESS CHILDREN'S SERVICES LIMITED"
"841","Mercia Children Services Limited","Mercia Children Services Limited","MERCIA CHILDREN SERVICES LIMITED"
"842","Care 4 Every Child Limited","Care 4 Every Child Limited","CARE 4 EVERY CHILD LIMITED"
"843","Options Autism (1) Limited","Options Autism (1) Limited","OPTIONS AUTISM (1) LIMITED"
"844","Nottinghamshire YMCA","Nottinghamshire YMCA","YMCA ROBIN HOOD GROUP"
"845","Tab Care and Support Ltd","Tab Care and Support Ltd","TAB CARE AND SUPPORT LTD"
"846","ERA Care Limited","ERA Care Limited","ERA CARE LIMITED"
