Organisation_fame_search,Company.name
Hopscotch Care LtdSelected, HOPSCOTCH CARE LIMITED
Hillcrest childrens Services (2) LimitedSelected, HILLCREST CHILDRENS SERVICES (2) LIMITED
Keys QTCSelected, KEYS QTC LIMITED
Apex Childrens Services LtdSelected, APEX CHILDRENS SERVICES LTD
Budwood LimitedSelected, BUDWOOD LIMITED
Stepping Stones Care (Midlands) LimitedSelected, STEPPING STONES CARE (MIDLANDS) LIMITED
Inspirations Care LimitedSelected, INSPIRATION CARE LIMITED
Monarch Intervention Services LimitedSelected, MONARCH INTERVENTION SERVICES LIMITED
Arc HD Services LtdSelected, ARC HD SERVICES LIMITED
Attivo Care LtdSelected, ATTIVO CARE LIMITED
Pasture View Nurturing Homes LtdSelected, PASTURE VIEW NURTURING HOMES LTD.
Advanced Adolescent Care Solutions LtdSelected, ADVANCED ADOLESCENT CARE SOLUTIONS LIMITED
Sw Education & CareSelected, SW EDUCATION & CARE LTD
ASTON childrens CARE LTDSelected, ASTON CHILDREN'S CARE LTD
Channels & Choices Kent LLPSelected, CHANNELS AND CHOICES KENT LLP
Semi-Independent House LtdSelected, SEMI-INDEPENDENT HOUSE LIMITED
Enhanced Young Persons Care LtdSelected, ENHANCED YOUNG PERSONS' CARE LIMITED
New Horizons (nw) ltdSelected, NEW HORIZONS (NW) LTD
Achieving Aspirations COMMUNITY INTEREST COMPANYSelected, ACHIEVING ASPIRATIONS COMMUNITY INTEREST COMPANY
KESWICK CARE LTDSelected, KESWICK CARE LIMITED
Spring Meadow childrens HomeSelected, SPRING MEADOW CHILDRENS HOME LTD In liquidation
Laska Care And Education LtdSelected, LASKA CARE AND EDUCATION LTD
South West Complex Care ServicesSelected, SOUTH WEST COMPLEX CARE SERVICES LTD
Gordon Care Services LimitedSelected, GORDON CARE SERVICES LIMITED
Children & Adolescents Placement Provisions LtdSelected, CHILDREN & ADOLESCENTS PLACEMENT PROVISIONS LTD
Hill Top Childrens Care LimitedSelected, HILL TOP CHILDRENS CARE LIMITED
Timeout Childrens Homes LtdSelected, TIMEOUT CHILDRENS HOMES LIMITED
Anderida Adolescent Care LtdSelected, ANDERIDA ADOLESCENT CARE LIMITED
Next Stage 4 Life LTDSelected, NEXT STAGE 4 LIFE LTD
Worcestershire Children FirstSelected, WORCESTERSHIRE CHILDREN FIRST
Homes For Support LimitedSelected, HOMES FOR SUPPORT LTD
Social Care Services ( clayton ) LtdSelected, SOCIAL CARE SERVICES (CLAYTON) LIMITED
XYP Childcare LimitedSelected, XYP CHILDCARE LIMITED
Swan childrens Homes LtdSelected, SWAN CHILDREN'S HOMES LTD
Sunlight childrens Care LimitedSelected, SUNLIGHT CHILDREN'S CARE LIMITED
Positive Outcomes Childcare LimitedSelected, POSITIVE OUTCOMES CHILDCARE LIMITED
Footsteps to Futures LimitedSelected, FOOTSTEPS TO FUTURES LIMITED
Penn Inspires LtdSelected, PENN INSPIRES LTD
Oak house Childrens Home LtdSelected, OAK HOUSE CHILDRENS HOME LTD
SBL CARESERVICES (UK) LTDSelected, SBL CARESERVICES (UK) LTD
Vcare - 24 LimitedSelected, VCARE-24 LIMITED
Holywell childrens Services LimitedSelected, HOLYWELL CHILDREN'S SERVICES LIMITED
Aspiration House LtdSelected, ASPIRATION HOUSE LIMITED
A-Triangle Care LtdSelected, A-TRIANGLE CARE LTD
Omega Care Group LtdSelected, OMEGA CARE GROUP LTD
Phoenix Childcare LtdSelected, PHOENIX CHILDCARE LIMITED
Pure Care Homes ltdSelected, PURE CARE HOMES LTD
Pathways Care GroupSelected, PATHWAYS CARE GROUP LIMITED
Lakeside@OurPlace LimitedSelected, LAKESIDE@OURPLACE LIMITED
Flourish (Gloucestershire) LimitedSelected, FLOURISH (GLOUCESTERSHIRE) LIMITED
Educare Support LimitedSelected, EDUCARE SUPPORT LIMITED
Safe Places For Children UkSelected, SAFE PLACES FOR CHILDREN UK
Berry Gifford LtdSelected, BERRY GIFFORD LTD
Cherish childrens CareSelected, CHERISH CHILDRENS CARE LTD
Haven Care Group LtdSelected, HAVEN CARE GROUP LIMITED
Restorative social care services ltdSelected, RESTORATIVE SOCIAL CARE SERVICES LTD.
Blossom Care Group LtdSelected, BLOSSOM CARE GROUP LIMITED
Flourish childrens Services LimitedSelected, FLOURISH CHILDRENS SERVICES LIMITED
Nirmal Homes LtdSelected, NIRMAL HOMES LIMITED
CASC (BARROW) LIMITEDSelected, CASC (BARROW) LIMITED
Progress childrens Services LimitedSelected, PROGRESS CHILDREN'S SERVICES LIMITED
Mercia Children Services LimitedSelected, MERCIA CHILDREN SERVICES LIMITED
Care 4 Every Child LimitedSelected, CARE 4 EVERY CHILD LIMITED
Options Autism (1) LimitedSelected, OPTIONS AUTISM (1) LIMITED
Nottinghamshire YMCASelected, YMCA ROBIN HOOD GROUP
Tab Care and Support LtdSelected, TAB CARE AND SUPPORT LTD
Above and Beyond Residential Care ltdSelected, ABOVE AND BEYOND RESIDENTIAL CARE LTD Dissolved
Bttlr LimitedSelected, BTTLR LIMITED
Guidance Care LimitedSelected, GUIDANCE CARE LIMITED
Windows For Children LtdSelected, WINDOWS FOR CHILDREN LIMITED
Smartcare ServicesSelected, SMARTCARE SERVICES LIMITED
Hand In Hand ChildcareSelected, HAND IN HAND CHILDCARE LLP Dissolved
Keys Child Care LtdSelected, KEYS CHILD CARE LIMITED
Heartwood RSC LtdSelected, HEARTWOOD RSC LTD
Paramount Children Care LtdSelected, PARAMOUNT CHILDREN CARE LTD
Anchor Care and Education LimitedSelected, ANCHOR CARE AND EDUCATION LTD
The Hesley Group LimitedSelected, THE HESLEY GROUP LIMITED
Northern Community Pathways childrens Residential Services LimitedSelected, NORTHERN COMMUNITY PATHWAYS CHILDREN'S RESIDENTIAL SERVICES LTD
Achieving For Children Community Interest CompanySelected, ACHIEVING FOR CHILDREN COMMUNITY INTEREST COMPANY
Sozo Care Homes LimitedSelected, SOZO CARE HOMES LIMITED In liquidation
Aspire 2 Be LtdSelected, ASPIRE 2 BE LTD
Midas Manors LtdSelected, MIDAS MANORS LTD
Assure Care Homes LtdSelected, ASSURE CARE HOMES LTD
Compass childrens Homes Kent LimitedSelected, COMPASS CHILDREN'S HOMES KENT LIMITED
Gracebridge Care LimitedSelected, GRACEBRIDGE CARE LIMITED
Fonjocks Social Work PracticeSelected, FONJOCK'S SOCIAL WORK PRACTICE LIMITED
Country Care Childrens Homes LtdSelected, COUNTRY CARE CHILDRENS HOMES LTD
Bfg Together LimitedSelected, BFG TOGETHER LTD
Mutual Care LtdSelected, MUTUAL CARE LIMITED
Changing Lives Care Group LtdSelected, CHANGING LIVES CARE GROUP LTD
Solace for Children LtdSelected, SOLACE FOR CHILDREN LIMITED
Care Today (Childrens Services) LtdSelected, CARE TODAY (CHILDRENS SERVICES) LTD
R G CARE LTDSelected, R G CARE LTD.
HUNTERCOMBE YOUNG PEOPLE LTDSelected, ACTIVE YOUNG PEOPLE LIMITED
Consistent Quality Support LtdSelected, CONSISTENT QUALITY SUPPORT LTD
A & S childrens Services LTDSelected, A & S CHILDRENS SERVICES LTD
Blossom childrens Homes LimitedSelected, BLOSSOM CHILDREN'S HOMES LIMITED
GAC FAMILY SERVICES LIMITEDSelected, GAC FAMILY SERVICES LIMITED
Northwest Youth Services LimitedSelected, NORTHWEST YOUTH SERVICES LTD
Highlands (Fareham) LimitedSelected, HIGHLANDS (FAREHAM) LIMITED
Indigo childrens Care Homes LtdSelected, INDIGO CHILDRENS CARE HOMES LTD
Connect Care Solutions LimitedSelected, CONNECT CARE SOLUTIONS LIMITED
Paramount childrens Services LtdSelected, PARAMOUNT CHILDREN'S SERVICES LTD
Solace Care Redbridge LtdSelected, SOLACE CARE REDBRIDGE LTD
Rainbows Corner LtdSelected, RAINBOW CORNER LIMITED Dissolved
Onextra Care LtdSelected, ONEXTRA CARE LTD
PCF Residential Childcare LtdSelected, PCF RESIDENTIAL CHILDCARE LTD
Pathways Residential Child Care LimitedSelected, PATHWAYS RESIDENTIAL CHILD CARE LIMITED Dissolved
Hmo Ne LtdSelected, HMO NE LTD
Empower Support Services LimitedSelected, EMPOWER FAMILY SUPPORT SERVICES LTD Dissolved
Horizon Transitional Care LimitedSelected, HORIZON TRANSITIONAL CARE LTD
Kelwel Care LimitedSelected, KELWEL CARE LIMITED
Champion Children (NW London) LimitedSelected, CHAMPION CHILDREN (NW LONDON) LIMITED
Barnardo Services LimitedSelected, BARNARDO SERVICES LIMITED
Nisa Care Home LimitedSelected, NISA CARE HOME LIMITED
Casaegis LtdSelected, CASAEGIS LIMITED
Juventas Services LimitedSelected, JUVENTAS SERVICES LIMITED
Wynford House LtdSelected, WYNFORD HOUSE LTD Dissolved
Pilgrim Extra Care LtdSelected, PILGRIMAGE SHORT STAY RECOVERY UNITS LTD
Lavender Grove Cares LimitedSelected, LAVENDER GROVE CARES LTD.
Capital Childrens Care LtdSelected, CAPITAL CHILDREN'S CARE LTD
CF Support Services LimitedSelected, CF SUPPORT SERVICES LIMITED
J&r Care LimitedSelected, J & R CARE LIMITED
Safe Haven Adolescent Care Group LtdSelected, SAFE HAVEN ADOLESCENT CARE GROUP LIMITED
Clervaux Garden SchoolSelected, CLERVAUX GARDEN SCHOOL
Senad LimitedSelected, SENAD LIMITED
TJY Care LtdSelected, TJY CARE LTD
Coastal Quality Care LtdSelected, COASTAL QUALITY CARE LTD
Alexanders House LtdSelected, ALEXANDERS HOUSE LTD.
Unique Care Group LimitedSelected, UNIQUE CARE GROUP LTD
G&SCARING FORCHILDREN AND YOUNG PEOPLE LTDSelected, G&SCARING FORCHILDREN AND YOUNG PEOPLE LTD
T. How Homely LimitedSelected, T. HOW HOMELY LIMITED
Chillington CloseSelected, CHILLINGTON CLOSE LTD
Rite Directions LtdSelected, RITE DIRECTIONS LTD
Evoke Care LtdSelected, EVOKE CARE GROUP LIMITED
Child First Residential LTDSelected, CHILD FIRST RESIDENTIAL LTD
Raise House LimitedSelected, RAISE HOUSE LIMITED
The Open Care Group LimitedSelected, THE OPEN CARE GROUP LIMITED
Overley Hall LimitedSelected, OVERLEY HALL LIMITED
iMap centre LtdSelected, IMAP CENTRE LIMITED
Willows 21 LimitedSelected, WILLOWS 21 LTD
Castle Care Homes LtdSelected, CASTLE CARE HOMES LTD
Madiba LimitedSelected, MADIBA LIMITED Dissolved
247 Bluebell Care LTDSelected, 247 BLUEBELL CARE LIMITED
VITA NOVA NE LTDSelected, VITA NOVA NE LTD
One Step Care LimitedSelected, ONE STEP CARE LIMITED Dissolved
Woodford childrens Services LtdSelected, WOODFORD CHILDREN'S SERVICES LIMITED
Hazelmont Social Care LimitedSelected, HAZELMONT SOCIAL CARE LIMITED
Pbs Care Homes LtdSelected, PBS CARE HOMES LTD
Almond Care childrens Services LimitedSelected, ALMOND CARE CHILDRENS SERVICES LIMITED
Future 19 Social Care LimitedSelected, FUTURE 19 SOCIAL CARE LIMITED
Seva Childcare LtdSelected, SEVA CHILDCARE LTD
New Beginnings Young Peoples Care And Support Services LtdSelected, NEW BEGINNINGS YOUNG PEOPLE'S CARE AND SUPPORT SERVICES LTD
D & J Care Services-Residential LtdSelected, D&J CARE SERVICES-RESIDENTIAL LTD
Eventus Achieves LimitedSelected, EVENTUS ACHIEVES LIMITED Dissolved
Dorset Emergency Placement Services Ltd.Selected, DORSET EMERGENCY PLACEMENT SERVICES LTD. In liquidation
Kennedy And Elliott Partnership LlpSelected, KENNEDY AND ELLIOTT PARTNERSHIP LLP
Stepping Stones Care LtdSelected, STEPPING STONES CARE LIMITED
Innovate Therapeutic Care LimitedSelected, INNOVATE THERAPEUTIC CARE LIMITED Dissolved
Invigor Adolescent Care LimitedSelected, INVIGOR ADOLESCENT CARE LIMITED
Cascade (banks House) LimitedSelected, CASCADE (BANKS HOUSE) LIMITED
Hazelmont Care LtdSelected, HAZELMONT CARE LIMITED
Allinonecare LimitedSelected, ALLINONECARE LTD
James Kids Home LtdSelected, JAMES KIDS HOME LTD
Care 4 Children Residential Services LimitedSelected, YOUR CHAPTER LIMITED
Witherslack GroupSelected, WITHERSLACK GROUP LIMITED
Aspris childrens Services LimitedSelected, ASPRIS CHILDREN'S SERVICES LIMITED
YMCA ROBIN HOOD GROUPSelected, YMCA ROBIN HOOD GROUP
TLC Youth Care LtdSelected, TLC YOUTH CARE LIMITED
Slough Children First LimitedSelected, SLOUGH CHILDREN FIRST LIMITED
Acorn Homes (UK) LtdSelected, ACORN HOMES (U.K.) LIMITED Dissolved
Hexagon Care Services LtdSelected, HEXAGON CARE SERVICES LIMITED
Compass Childrens Homes LimitedSelected, COMPASS CHILDREN'S HOMES LIMITED
Thornleigh Camphill Communities LimitedSelected, THORNLEIGH CAMPHILL COMMUNITIES LIMITED
Cambian Autism Services LtdSelected, CAMBIAN AUTISM SERVICES LIMITED
Exceptional Care LimitedSelected, EXCEPTIONAL CARE LIMITED Dissolved
solent Child care LTDSelected, SOLENT CHILD CARE LIMITED
Phoenix Care & Education LtdSelected, PHOENIX CARE & EDUCATION LTD
Kites Children Services LimitedSelected, KITES CHILDRENS SERVICES LIMITED
Beacon Childcare LtdSelected, BEACON CHILDCARE LTD
Cove Care Residential LimitedSelected, COVE CARE RESIDENTIAL LIMITED
Artemis Support LimitedSelected, COMPASS CHILDREN'S HOMES NORTH EAST LIMITED
New Horizons nw ltdSelected, NEW HORIZONS (NW) LTD
Calcot Services for Children LimitedSelected, CALCOT SERVICES FOR CHILDREN LIMITED
Benjamin UK LtdSelected, BENJAMIN UK LTD
Aspire Care and Education Services LtdSelected, ASPIRE CARE AND EDUCATION SERVICES LIMITED
ROC Northwest LimitedSelected, ROC NORTHWEST LIMITED
Beaufort Care Group LimitedSelected, BEAUFORT CARE GROUP LIMITED
Radical Services LimitedSelected, RADICAL SERVICES LIMITED
My Choice childrens Homes ltdSelected, MY CHOICE CHILDREN'S HOMES LIMITED
Achieving Aspirations Community Interest CompanySelected, ACHIEVING ASPIRATIONS COMMUNITY INTEREST COMPANY
Area Camden LimitedSelected, AREA CAMDEN LIMITED
Restorative Social Care Services LtdSelected, RESTORATIVE SOCIAL CARE SERVICES LTD.
SureCare Residential LtdSelected, SURECARE RESIDENTIAL LTD
Cameron & Cooper LimitedSelected, CAMERON & COOPER LIMITED
Gravitas Care LTDSelected, GRAVITAS CARE LIMITED
Parkview Care (Broadstairs) LimitedSelected, PARKVIEW CARE (BROADSTAIRS) LIMITED
Arc-HD Services LtdSelected, ARC HD SERVICES LIMITED
Swan Cottage LimitedSelected, SWAN COTTAGE LIMITED
Oasis Adolescent Services LtdSelected, OASIS ADOLESCENT SERVICES LIMITED
Ashwood Childrens Care Home LtdSelected, ASHWOOD CHILDRENS CARE HOME LTD
Albrighton Care LimitedSelected, ALBRIGHTON CARE LIMITED
Social Care Services (Clayton) LimitedSelected, SOCIAL CARE SERVICES (CLAYTON) LIMITED
Care Perspectives LimitedSelected, CARE PERSPECTIVES LIMITED
Action for ChildrenSelected, ACTION FOR CHILDREN
Q+Selected, Q+
Oak Childcare Plus LtdSelected, OAK CHILDCARE PLUS LIMITED
N H Care LimitedSelected, N H CARE LIMITED
Protea Care LimitedSelected, PROTEA CARE LIMITED
Brighter Futures For Children LimitedSelected, BRIGHTER FUTURES FOR CHILDREN LIMITED
Solace for Children LimitedSelected, SOLACE FOR CHILDREN LIMITED
Purple Oak SupportSelected, PURPLE OAK SUPPORT
Kennedy And Elliott Partnership LLPSelected, KENNEDY AND ELLIOTT PARTNERSHIP LLP
Homes for Support LimitedSelected, HOMES FOR SUPPORT LTD
Hapin Care LtdSelected, HAPIN CARE LTD
Heartwood RSL LtdSelected, HEARTWOOD RSL LTD
Care 4 Every Child LtdSelected, CARE 4 EVERY CHILD LIMITED
Brinscall CareSelected, BRINSCALL CARE LIMITED
The Ryes College LTDSelected, THE RYES COLLEGE LIMITED
Caterpillar Care Services LtdSelected, CATERPILLAR CARE SERVICES LTD Dissolved
Proactive Care (manchester) ltdSelected, PROACTIVE CARE (MANCHESTER) LTD
Life Change Care LtdSelected, LIFE CHANGE CARE LTD
Gracewells Care LtdSelected, GRACEWELLS CARE LIMITED
Empower Residentials LimitedSelected, EMPOWER RESIDENTIALS LIMITED
Oak House Childrens Home LtdSelected, OAK HOUSE CHILDRENS HOME LTD
Gracebridge Care LtdSelected, GRACEBRIDGE CARE LIMITED
BTTLR LIMITEDSelected, BTTLR LIMITED
Woodford childrens Services LimitedSelected, WOODFORD CHILDREN'S SERVICES LIMITED
Blossom Care Group LimitedSelected, BLOSSOM CARE GROUP LIMITED
Flourish Childrens Services LtdSelected, FLOURISH CHILDRENS SERVICES LIMITED
Nirmal Homes LimitedSelected, NIRMAL HOMES LIMITED
Almond Care childrens Services LtdSelected, ALMOND CARE CHILDRENS SERVICES LIMITED
HMO NE LTDSelected, HMO NE LTD
Northern Community Pathways Childrens Residential Services LimitedSelected, NORTHERN COMMUNITY PATHWAYS CHILDREN'S RESIDENTIAL SERVICES LTD
Safe Haven Adolescent Care Group LimitedSelected, SAFE HAVEN ADOLESCENT CARE GROUP LIMITED
MERCIA CHILDREN SERVICES LIMITEDSelected, MERCIA CHILDREN SERVICES LIMITED
Solo Independent Living Adolescent Care Services LtdSelected, SOLO INDEPENDENT LIVING ADOLESCENT CARE SERVICES LTD Dissolved
Halliwell Homes (Midlands Division) LimitedSelected, HALLIWELL HOMES (MIDLANDS DIVISION) LIMITED
Bright Futures Care LtdSelected, BRIGHT FUTURES CARE LIMITED
The Beeches UK LimitedSelected, THE BEECHES UK LIMITED
Willows (Devon) LtdSelected, WILLOWS (DEVON) LIMITED
Strive To Care LtdSelected, STRIVE TO CARE LTD
Supporting Hands Care Services LtdSelected, SUPPORTING HANDS CARE SERVICES LTD
Castle Care HomesSelected, CASTLE CARE HOMES LIMITED Dissolved
Enhanced Young Persons Care LimitedSelected, ENHANCED YOUNG PERSONS' CARE LIMITED
Support And Sustain Care LtdSelected, SUPPORT AND SUSTAIN CARE LTD
Connect Care solutions limitedSelected, CONNECT CARE SOLUTIONS LIMITED
Northamptonshire Childrens Trust LimitedSelected, NORTHAMPTONSHIRE CHILDREN'S TRUST LIMITED
Madiba ltdSelected, MADIBA LTD Dissolved
Oakley House childrens Home LimitedSelected, OAKLEY HOUSE CHILDRENS HOME LIMITED
Central & Southern Homes LtdSelected, CENTRAL & SOUTHERN HOMES LTD
247 Bluebell Care LimitedSelected, 247 BLUEBELL CARE LIMITED
PURE GRACE HOMES LIMITEDSelected, PURE GRACE HOMES LIMITED
Clearwater Care (Hackney) LtdSelected, CLEARWATER CARE (HACKNEY) LIMITED
Clear Water Care Homes LtdSelected, CLEAR WATER CARE HOMES LTD
GAC Family Services LtdSelected, GAC FAMILY SERVICES LIMITED
Care Today ( Childrens Services ) LtdSelected, CARE TODAY (CHILDRENS SERVICES) LTD
TJY Care ltdSelected, TJY CARE LTD
Forte Care LtdSelected, FORTE CARE LTD
Young Birch LtdSelected, YOUNG BIRCH LIMITED
Prosper and Enterprise LimitedSelected, PROSPER AND ENTERPRISE LIMITED
Momentum Residential Care Home LtdSelected, MOMENTUM RESIDENTIAL CARE HOME LTD
Evolve Child care LtdSelected, EVOLVE CHILD CARE LIMITED
Resi-Action Staffordshire LtdSelected, RESI- ACTION STAFFORDSHIRE LTD
Huntercombe Young People LtdSelected, ACTIVE YOUNG PEOPLE LIMITED
Monarch Intervention Services LtdSelected, MONARCH INTERVENTION SERVICES LIMITED
Care2Care childrens Home LtdSelected, CARE2CARE CHILDREN'S HOME LTD
I.M.P.A.C.T childrens Residential Care LtdSelected, I.M.P.A.C.T CHILDREN'S RESIDENTIAL CARE LTD
Parallel Parents LtdSelected, PARALLEL PARENTS LTD
Oakley House (Kent) LimitedSelected, OAKLEY HOUSE (KENT) LIMITED
Protea Care 2 LimitedSelected, PROTEA CARE 2 LIMITED
Supreme Child Care ltdSelected, SUPREME CHILD CARE LTD
Camino Care LimitedSelected, SUPERCARE HOLDINGS LTD
Halls Homes For Young People LtdSelected, HALLS HOMES FOR YOUNG PEOPLE LTD
Aegis 24/7 LtdSelected, AEGIS 24/7 LTD
HopespringSelected, HOPESPRING
Safety & Focused Care LtdSelected, SAFETY & FOCUSED CARE LTD
Excel Residential Care LTDSelected, EXCEL RESIDENTIAL CARE LIMITED
Positive Steps Specialist Care Services LimitedSelected, POSITIVE STEPS SPECIALIST CARE SERVICES LIMITED
Ashdown Care Homes LimitedSelected, ASHDOWN CARE HOMES LTD
Applecast LimitedSelected, APPLECAST LIMITED
Truly Care Services LtdSelected, TRULY CARE SERVICES LTD
Charis Services for Children LtdSelected, CHARIS SERVICES FOR CHILDREN LTD
Treasure Nest LimitedSelected, TREASURE NEST LIMITED
Positive Homes for Positive Futures ltdSelected, POSITIVE HOMES FOR POSITIVE FUTURES LIMITED
PALS Residential Services LtdSelected, PALS RESIDENTIAL SERVICES LTD
MJ Residential ServicesSelected, MJ RESIDENTIAL SERVICES LIMITED
Horizon Care Mayfield Lodge LimitedSelected, HORIZON CARE MAYFIELD LODGE LIMITED
Cherry Care childrens Home LtdSelected, CHERRY CARE CHILDREN'S HOME LTD
Vita Spirit LimitedSelected, VITA SPIRIT LIMITED
Trax MX LtdSelected, TRAX MX LTD
Ashford childrens Care LimitedSelected, ASHFORD CHILDRENS CARE LIMITED
Family First Care Services LtdSelected, FAMILY FIRST CARE SERVICES LTD
First Steps Care LtdSelected, FIRST STEPS CARE LTD Dissolved
Anchor Care and Education LtdSelected, ANCHOR CARE AND EDUCATION LTD
St. Caspian Care LimitedSelected, ST. CASPIAN CARE LIMITED
GREEN HARVEST CAPITAL CONSULTING LTDSelected, GREEN HARVEST CAPITAL CONSULTING LTD
24/7 SUPPORT UK LIMITEDSelected, 24/7 SUPPORT UK LIMITED
Abundantia Care LimitedSelected, ABUNDANTIA CARE LIMITED
Moncur Group LtdSelected, SUNBRIDGE CHILDCARE LTD
Acheron Care LimitedSelected, ACHERON CARE LIMITED
Roxwell Care Gidea Park LimitedSelected, ROXWELL CARE GIDEA PARK LIMITED
Next Step Independence LtdSelected, NEXT STEP INDEPENDENCE LIMITED
ARGF LIMITEDSelected, ARGF LIMITED
Bethel childrens Care LtdSelected, BETHEL CHILDREN'S CARE LIMITED
Contemporary Concept Care LimitedSelected, CONTEMPORARY CONCEPT CARE LIMITED
Northridge Care Group LtdSelected, NORTHRIDGE CARE GROUP LTD
Real Care Support Ltd.Selected, REAL CARE SUPPORT LIMITED
Nurture Care Group LtdSelected, NURTURE CARE GROUP LTD
Infinity Care Home LtdSelected, INFINITY CARE HOME LTD
Sankofa Specialist Care LtdSelected, SANKOFA SPECIALIST CARE LTD
Carterhatch Homes LimitedSelected, CARTERHATCH HOMES LIMITED
Williams Welfare LtdSelected, WILLIAMS WELFARE LTD
Centre 404Selected, CENTRE 404
Solace Care ClayHall LtdSelected, SOLACE CARE CLAYHALL LTD
A&R Guardian Services LimitedSelected, A&R GUARDIAN SERVICES LIMITED
Kedleston (Wood Grove Childcare) LimitedSelected, KEDLESTON (WOOD GROVE CHILDCARE) LIMITED
Helpful Investments LimitedSelected, HELPFUL INVESTMENTS LIMITED
Trauma in Mind LtdSelected, TRAUMA IN MIND LTD
Barracare LtdSelected, BARRACARE LTD
Allesley Childrens Care LtdSelected, ALLESLEY CHILDRENS CARE LTD
Ascent Fostering AgencySelected, ASCENT FOSTERING AGENCY LIMITED
Dimensions Care LtdSelected, 3 DIMENSIONS CARE LIMITED
SV Care Services LimitedSelected, SV CARE SERVICES LIMITED
We Care Bespoke LimitedSelected, WE CARE BESPOKE LTD
Lily Residential Services LTdSelected, LILY RESIDENTIAL SERVICES LTD
Ubuntu Group LimitedSelected, UBUNTU GROUP LTD Dissolved
ALTERNATIVE APPROACH CARE LTDSelected, ELEVATED FUTURES LTD
Procure Care Providers LimitedSelected, PROCURE CARE PROVIDERS LIMITED
Kids Inc Residential Services LtdSelected, KIDS INC RESIDENTIAL SERVICES LTD
Willcob Care LtdSelected, WILLCOB CARE LTD
Caritas Homes LimitedSelected, CARITAS HOMES LIMITED
Bess Solutions LimitedSelected, BESS SOLUTIONS LIMITED
Loyal Care LimitedSelected, LOYAL CARE LIMITED Dissolved
Pinnacle Care Provisions LtdSelected, PINNACLE CARE PROVISIONS LTD
Caring feathers LtdSelected, CARING FEATHERS LTD
Montage Services LimitedSelected, MONTAGE SERVICES LIMITED Dissolved
Residential Child Care Community (North West) LimitedSelected, RESIDENTIAL CHILD CARE COMMUNITY (NORTH WEST) LIMITED
Direct Care childrens HomesSelected, DIRECT CARE CHILDRENS HOMES LTD
Bright Life Living (Stirchley) LtdSelected, BRIGHT LIFE LIVING (STIRCHLEY) LTD
Advocate Recruitment LtdSelected, ADVOCATE RECRUITMENT LTD
Ash House Care LtdSelected, ASH HOUSE CARE LTD
RESILIENCE RESIDENTIAL SERVICES LTDSelected, RESILIENCE RESIDENTIAL SERVICES LTD
Elite childrens Care Group LtdSelected, ELITE CHILDREN'S CARE GROUP LTD
Catch 22 Charity LimitedSelected, CATCH 22 CHARITY LIMITED
Prime Calibre Care Group LtdSelected, PRIME CALIBRE CARE GROUP LTD
My House Calow LtdSelected, MY HOUSE CALOW LTD
Treetops childrens Homes LimitedSelected, TREETOPS CHILDREN'S HOMES LIMITED
Nelbro Group LimitedSelected, NELBRO GROUP LIMITED
Tutelage Care Barking LtdSelected, TUTELAGE CARE BARKING LTD
Manuel Cornwall LtdSelected, MANUEL CORNWALL LTD
Care Acre LtdSelected, CARE ACRE LIMITED
Restoring Lives LtdSelected, RESTORING LIVES LTD Dissolved
SUSSEX CHILDRENS CARE LTDSelected, SUSSEX CHILDREN'S CARE LTD
Tutelage care Redbridge LtdSelected, TUTELAGE CARE REDBRIDGE LTD
Prime Nurture Services LimitedSelected, PRIME NURTURE SERVICES LTD
CF Social Work LtdSelected, C F SOCIAL WORK LIMITED
Rubicon Children and Family Services LtdSelected, RUBICON CHILDREN & FAMILY SERVICES LIMITED
Cynhenid Care LtdSelected, CYNHENID CARE LTD
Heathfield (Parkgate) LtdSelected, HEATHFIELD (PARKGATE) LIMITED
AMMA Childcare Services LtdSelected, AMMA CHILDCARE SERVICES LTD
Within Reach Services LimitedSelected, WITHIN REACH SERVICES LIMITED
GSM Ardent LtdSelected, GSM ARDENT LIMITED
North Lakes childrens Service LimitedSelected, NORTH LAKES CHILDRENS SERVICES LIMITED
Choices Home for Children LimitedSelected, CHOICES HOME FOR CHILDREN LIMITED
Castle Homes Care LimitedSelected, CASTLE HOMES CARE LIMITED
National Autistic Society (The)Selected, NATIONAL AUTISTIC SOCIETY(THE)
Evolution Children Services LimitedSelected, EVOLUTION CHILDREN SERVICES LTD In liquidation
Green View Young People LimitedSelected, GREEN VIEW YOUNG PEOPLE LIMITED
Plus One South West LtdSelected, PLUS ONE (SOUTH WEST) LIMITED
Roundhouse Care LimitedSelected, ROUNDHOUSE CARE LIMITED
Aspris New Education Services LimitedSelected, ASPRIS NEW EDUCATION SERVICES LIMITED
Carlisle Mencap LimitedSelected, CARLISLE MENCAP LIMITED
Central & Southern HomesSelected, CENTRAL & SOUTHERN HOMES LTD
Compass Childrens Homes LtdSelected, COMPASS CHILDREN'S HOMES LIMITED
Homes 2 inspireSelected, HOMES 2 INSPIRE LIMITED
Consensus Support Services LimitedSelected, CONSENSUS SUPPORT SERVICES LIMITED
New Horizons (Stockport) LtdSelected, NEW HORIZONS (STOCKPORT) LTD
K & G Care LtdSelected, K & G CARE LTD
Ash House Care LTDSelected, ASH HOUSE CARE LTD
Excel Residential Care LtdSelected, EXCEL RESIDENTIAL CARE LIMITED
Hillcrest Childrens Services (2) LimitedSelected, HILLCREST CHILDRENS SERVICES (2) LIMITED
New Horizons (NW) LtdSelected, NEW HORIZONS (NW) LTD
