"","Sector","URN","Places","Local.authority","Organisation","Registration.date","Overall.experiences.and.progress.of.children.and.young.people","Latest.full.inspection.date","Homes","Join","Leave","keep"
"10040","For-profit","1275569",31,"OXFORDSHIRE","The Mulberry Bush Organisation Ltd","18/06/2018","Outstanding",2019-11-05,1,"2018-06-18",NA,NA
"10041","For-profit","1275649",6,"CUMBRIA","A Wilderness Way Ltd","17/05/2018","Outstanding",2019-07-03,1,"2018-05-17","2022-06-01",NA
"10042","For-profit","1275966",6,"STAFFORDSHIRE","Hillcrest Children's Services (2) Ltd","20/07/2018","Good",2019-12-02,1,"2018-07-20",NA,NA
"10043","For-profit","1276010",3,"SHROPSHIRE","Bryn Melyn Care Limited","14/05/2018","Good",2020-03-10,1,"2018-05-14",NA,NA
"10044","For-profit","1276111",5,"BIRMINGHAM","Nh Care Limited","07/08/2018","Good",2020-03-03,1,"2018-08-07",NA,NA
"10045","For-profit","1276216",3,"STAFFORDSHIRE","Horizon Care And Education Group Limited","23/07/2018","Good",2020-03-03,1,"2018-07-23",NA,NA
"10046","For-profit","1276249",3,"LEICESTERSHIRE","Esland North Limited","29/05/2018","Good",2019-06-04,1,"2018-05-29",NA,NA
"10047","For-profit","1276421",4,"DURHAM","Invested Childcare Ltd","16/08/2018","Good",2019-04-16,1,"2018-08-16",NA,NA
"10048","For-profit","1276442",3,"KENT","Horizon Care And Education Group Limited","13/09/2018","Outstanding",2020-02-05,1,"2018-09-13",NA,NA
"10049","For-profit","1276706",4,"STAFFORDSHIRE","Acorn Children's Home (Branston) Ltd","05/07/2018","Good",2020-01-20,1,"2018-07-05","2020-06-18",NA
"10050","For-profit","1276719",3,"CORNWALL","Devon & Cornwall Autistic Community Trust (t/a Spectrum)","16/05/2018","Requires improvement to be good",2019-05-20,1,"2018-05-16",NA,NA
"10051","For-profit","1276911",2,"STAFFORDSHIRE","Aspireone Care Ltd","29/10/2018","Good",2019-07-22,1,"2018-10-29",NA,NA
"10052","Local Authority","1277041",2,"NOTTINGHAM","Nottingham City Council","12/06/2018","Good",2019-08-06,1,"2018-06-12",NA,NA
"10053","For-profit","1277045",4,"CORNWALL","Pathway Care Solutions Ltd","03/08/2018","Requires improvement to be good",2019-06-11,1,"2018-08-03",NA,NA
"10054","For-profit","1277049",2,"WIGAN","All Round Care Ltd","26/07/2018","Good",2019-12-05,1,"2018-07-26",NA,NA
"10055","For-profit","1277158",2,"BLACKPOOL","Oaktree Childcare Ltd","28/06/2018","Good",2019-12-05,1,"2018-06-28",NA,NA
"10056","For-profit","1277304",2,"PLYMOUTH","South West Childcare Services","08/05/2018","Requires improvement to be good",2019-08-29,1,"2018-05-08",NA,NA
"10057","For-profit","1277449",5,"WOLVERHAMPTON","Osei Minkah Care Ltd","24/10/2018","Inadequate",2019-12-03,1,"2018-10-24","2021-10-22",NA
"10058","Local Authority","1277453",5,"BUCKINGHAMSHIRE","Buckinghamshire County Council","12/07/2018","Good",2019-11-05,1,"2018-07-12",NA,NA
"10059","For-profit","1277479",2,"NORTHAMPTONSHIRE","Good News Nwk Ltd","04/07/2018","Good",2020-01-07,1,"2018-07-04",NA,NA
"10060","For-profit","1277497",4,"LANCASHIRE","Hopscotch Care Limited","15/06/2018","Requires improvement to be good",2019-10-07,1,"2018-06-15",NA,NA
"10061","For-profit","1277552",2,"WORCESTERSHIRE","Keys Specialist Residential Children's Services Ltd","13/06/2018","Good",2020-01-28,1,"2018-06-13",NA,NA
"10062","For-profit","1277584",3,"SOMERSET","De Novo Care Ltd","21/05/2018","Good",2019-08-07,1,"2018-05-21",NA,NA
"10063","For-profit","1277656",3,"ST HELENS","New Roots Children's Services","17/09/2018","Good",2019-06-04,1,"2018-09-17",NA,NA
"10064","For-profit","1277726",6,"NOTTINGHAMSHIRE","Kisimul Group Ltd","25/06/2018","Good",2019-12-10,1,"2018-06-25",NA,NA
"10065","For-profit","1277734",3,"TELFORD AND WREKIN","Horizon Care And Education Group Limited","10/06/2019","Good",2020-03-04,1,"2019-06-10",NA,NA
"10066","For-profit","1277861",5,"GLOUCESTERSHIRE","Genesis CTE Ltd","06/06/2018","Good",2020-02-26,1,"2018-06-06",NA,NA
"10067","For-profit","1278017",8,"NORFOLK","Priory Education Services Limited","02/11/2018","Good",2019-04-16,1,"2018-11-02",NA,NA
"10068","For-profit","1278020",3,"DEVON","Blue Elephant Childcare Ltd","10/07/2018","Requires improvement to be good",2019-06-26,1,"2018-07-10",NA,NA
"10069","For-profit","1278022",2,"SEFTON","Independent Living Services (North West) Limited","18/05/2018","Outstanding",2020-01-29,1,"2018-05-18",NA,NA
"10070","For-profit","1278217",2,"HARTLEPOOL","North East Specialist Therapeutic Services Cic","19/12/2018","Good",2019-04-16,1,"2018-12-19",NA,NA
"10071","For-profit","1278421",4,"BIRMINGHAM","Dmr Services Ltd","06/09/2018","Good",2019-07-25,1,"2018-09-06",NA,NA
"10072","For-profit","1278708",1,"NORTHAMPTONSHIRE","Homes 2 Inspire Ltd","27/07/2018","Good",2019-10-23,1,"2018-07-27",NA,NA
"10073","For-profit","1278753",3,"OLDHAM","Oasis Adolescent Services Limited","06/09/2018","Outstanding",2020-02-12,1,"2018-09-06",NA,NA
"10074","Local Authority","1278806",4,"COVENTRY","Coventry City Council","06/09/2018","Good",2020-01-15,1,"2018-09-06",NA,NA
"10075","For-profit","1278873",6,"ESSEX","Mig House Residential Care Home Ltd","24/09/2018","Good",2020-01-28,1,"2018-09-24",NA,NA
"10076","For-profit","1278959",5,"BRENT","Aspire House Ltd","15/05/2018","Good",2019-08-20,1,"2018-05-15",NA,NA
"10077","For-profit","1278966",6,"DERBYSHIRE","Smoothstone Care And Education Ltd","20/08/2018","Good",2019-11-06,1,"2018-08-20",NA,NA
"10078","Local Authority","1278968",4,"LANCASHIRE","Lancashire County Council","10/08/2018","Good",2019-11-18,1,"2018-08-10",NA,NA
"10079","For-profit","1280210",2,"STAFFORDSHIRE","First Blue Healthcare Limited","02/08/2018","Requires improvement to be good",2019-09-30,1,"2018-08-02",NA,NA
"10080","For-profit","1280237",3,"LEICESTERSHIRE","United Children's Services Limited","01/10/2018","Inadequate",2020-02-11,1,"2018-10-01","2021-10-16",NA
"10081","For-profit","1280371",2,"OLDHAM","Time-Out Children's Homes Ltd","16/07/2018","Good",2020-03-03,1,"2018-07-16",NA,NA
"10082","For-profit","1280412",4,"WIGAN","Apex Childrens Services","25/06/2018","Requires improvement to be good",2020-01-27,1,"2018-06-25",NA,NA
"10083","For-profit","1280578",6,"GLOUCESTERSHIRE","Keys QTC Limited","29/06/2018","Good",2019-10-01,1,"2018-06-29",NA,NA
"10084","For-profit","1280623",3,"WOLVERHAMPTON","Wrottesley Care Limited","16/10/2018","Requires improvement to be good",2019-04-23,1,"2018-10-16",NA,NA
"10085","For-profit","1280629",3,"STAFFORDSHIRE","Cambian Childcare Ltd","01/08/2018","Good",2019-12-16,1,"2018-08-01",NA,NA
"10086","For-profit","2483691",6,"BRIGHTON AND HOVE","Lioncare Ltd Operating As The Lioncare Group","30/08/2018","Good",2020-02-18,1,"2018-08-30",NA,NA
"10087","For-profit","2483693",3,"LEICESTERSHIRE","Esland North Limited","22/07/2018","Good",2019-10-08,1,"2018-07-22",NA,NA
"10088","For-profit","2483715",5,"WEST BERKSHIRE","Hillcrest Children's Services Ltd","26/07/2018","Good",2019-10-07,1,"2018-07-26",NA,NA
"10089","For-profit","2483718",5,"STOCKTON ON TEES","Joshs Place Limited","08/11/2018","Good",2019-05-29,1,"2018-11-08",NA,NA
"10090","For-profit","2483720",7,"WARWICKSHIRE","Witherslack Group Ltd","05/12/2018","Good",2019-07-10,1,"2018-12-05","2020-09-04",NA
"10091","For-profit","2483789",3,"WIRRAL","Milestones Care Homes Ltd","30/08/2018","Good",2019-07-17,1,"2018-08-30",NA,NA
"10092","For-profit","2483823",3,"LEICESTERSHIRE","Esland North Limited","29/10/2018","Good",2019-07-29,1,"2018-10-29",NA,NA
"10093","For-profit","2483830",3,"WAKEFIELD","Keswick Care Ltd","17/10/2018","Good",2019-09-10,1,"2018-10-17",NA,NA
"10094","For-profit","2483881",5,"LEICESTER","Ivie Lodge Ltd","23/08/2018","Good",2019-06-18,1,"2018-08-23",NA,NA
"10095","For-profit","2484055",4,"LINCOLNSHIRE","The Place Young People's Company Limited","21/08/2018","Good",2019-12-17,1,"2018-08-21",NA,NA
"10096","Third Sector","2484136",5,"NORTH YORKSHIRE","Willows Lull","17/07/2019","Requires improvement to be good",2020-01-07,1,"2019-07-17","2020-08-28",NA
"10097","For-profit","2484180",4,"TELFORD AND WREKIN","Bryn Melyn Care Limited","19/10/2018","Good",2019-04-16,1,"2018-10-19",NA,NA
"10098","For-profit","2484435",3,"WALSALL","Hazelmont Social Care Ltd","04/11/2018","Good",2019-06-11,1,"2018-11-04","2021-09-22",NA
"10099","Local Authority","2484441",2,"STOKE ON TRENT","Stoke On Trent City Council","06/08/2018","Good",2019-05-21,1,"2018-08-06",NA,NA
"10100","For-profit","2484443",3,"SOMERSET","Impact For Change Ltd","20/08/2018","Requires improvement to be good",2020-01-14,1,"2018-08-20",NA,NA
"10101","Local Authority","2484586",2,"STOKE ON TRENT","Stoke On Trent City Council","06/08/2018","Good",2019-12-10,1,"2018-08-06",NA,NA
"10102","Local Authority","2484626",6,"WORCESTERSHIRE","Worcestershire Health And Care Nhs Trust","17/12/2018","Good",2019-07-31,1,"2018-12-17","2020-05-07",NA
"10103","For-profit","2484682",3,"BURY","Next Stage 4 Life Ltd","06/08/2018","Good",2019-08-07,1,"2018-08-06",NA,NA
"10104","For-profit","2490697",2,"LANCASHIRE","Nurture Childcare Services Ltd","12/10/2018","Good",2019-06-05,1,"2018-10-12","2021-06-25",NA
"10105","For-profit","2490729",3,"STAFFORDSHIRE","Horizon Care And Education Group Limited","11/06/2019","Requires improvement to be good",2020-03-10,1,"2019-06-11",NA,NA
"10106","For-profit","2490784",3,"OLDHAM","Dynamic Childcare Limited","28/08/2018","Requires improvement to be good",2020-01-22,1,"2018-08-28","2020-07-29",NA
"10107","Local Authority","2490894",2,"HARTLEPOOL","Hartlepool Borough Council","19/03/2019","Good",2019-09-17,1,"2019-03-19",NA,NA
"10108","Local Authority","2490938",5,"HILLINGDON","London Borough of Hillingdon","07/08/2018","Good",2019-08-28,1,"2018-08-07",NA,NA
"10109","For-profit","2490939",1,"STAFFORDSHIRE","Searchlight Care Services Ltd","11/07/2019","Good",2020-01-21,1,"2019-07-11",NA,NA
"10110","For-profit","2490994",3,"NOTTINGHAMSHIRE","Jigsaw Therapeutic Care Limited","13/02/2019","Good",2019-10-15,1,"2019-02-13",NA,NA
"10111","For-profit","2490996",3,"KIRKLEES","Horizon Care And Education Group Limited","09/10/2018","Good",2019-04-10,1,"2018-10-09",NA,NA
"10112","For-profit","2490998",4,"BLACKPOOL","Sandcastle Care Ltd","29/11/2018","Good",2019-05-08,1,"2018-11-29",NA,NA
"10113","For-profit","2490999",3,"LEICESTERSHIRE","Changing Lives Care Group Limited","04/10/2018","Good",2019-04-03,1,"2018-10-04",NA,NA
"10114","For-profit","2491037",3,"NOTTINGHAM","Wyncare Limited","03/12/2018","Good",2019-09-24,1,"2018-12-03","2023-01-13",NA
"10115","For-profit","2491059",3,"SOMERSET","1848 Ltd","15/10/2018","Requires improvement to be good",2019-08-07,1,"2018-10-15",NA,NA
"10116","For-profit","2491062",2,"HERTFORDSHIRE","Cornerways Care Ltd","25/10/2018","Requires improvement to be good",2019-04-02,1,"2018-10-25",NA,NA
"10117","For-profit","2494551",7,"WAKEFIELD","Witherslack Group Ltd","19/11/2018","Good",2019-05-01,1,"2018-11-19",NA,NA
"10118","For-profit","2494662",3,"WARRINGTON","Keys Child Care Limited","29/01/2019","Good",2019-07-02,1,"2019-01-29",NA,NA
"10119","For-profit","2494873",3,"SANDWELL","Accalia Care Services Ltd","11/12/2018","Good",2019-06-19,1,"2018-12-11",NA,NA
"10120","For-profit","2494881",3,"WOLVERHAMPTON","Wrottesley Care Limited","11/01/2019","Requires improvement to be good",2019-06-03,1,"2019-01-11","2021-09-28",NA
"10121","For-profit","2494962",4,"KIRKLEES","Horizon Care And Education Group Limited","09/01/2019","Good",2019-06-03,1,"2019-01-09",NA,NA
"10122","For-profit","2495335",4,"HALTON","Keys Education Ltd","12/10/2018","Good",2019-05-09,1,"2018-10-12",NA,NA
"10123","For-profit","2495371",3,"NORTHAMPTONSHIRE","Protea Care Ltd","10/10/2018","Requires improvement to be good",2019-04-30,1,"2018-10-10",NA,NA
"10124","Third Sector","2495375",9,"WANDSWORTH","St Christopher's Fellowship","19/11/2018","Requires improvement to be good",2019-06-25,1,"2018-11-19",NA,NA
"10125","Third Sector","2495377",58,"HERTFORDSHIRE","St Elizabeth's Centre","26/09/2018","Requires improvement to be good",2019-04-24,1,"2018-09-26",NA,NA
"10126","For-profit","2495397",2,"LANCASHIRE","Future Focused Ltd","03/10/2018","Good",2019-06-04,1,"2018-10-03",NA,NA
"10127","For-profit","2495504",1,"DERBYSHIRE","Clouds Children's Care Ltd","09/10/2018","Requires improvement to be good",2019-09-18,1,"2018-10-09",NA,NA
"10128","For-profit","2495513",3,"BLACKPOOL","Sandcastle Care Ltd","18/12/2018","Good",2019-05-08,1,"2018-12-18",NA,NA
"10129","For-profit","2495951",3,"LEICESTERSHIRE","T-Junction Children's Services Ltd","16/10/2018","Requires improvement to be good",2019-11-27,1,"2018-10-16",NA,NA
"10130","For-profit","2495967",3,"STAFFORDSHIRE","Harmony Childcare Residential Homes Ltd","11/03/2019","Good",2019-10-02,1,"2019-03-11",NA,NA
"10131","For-profit","2496251",4,"SEFTON","Family Care Associates Limited","05/11/2018","Good",2019-09-26,1,"2018-11-05",NA,NA
"10132","For-profit","2496625",2,"GATESHEAD","Cambian Childcare Ltd","06/11/2018","Good",2019-04-16,1,"2018-11-06",NA,NA
"10133","For-profit","2496627",3,"DURHAM","Witherslack Group Ltd","29/10/2018","Good",2019-04-30,1,"2018-10-29",NA,NA
"10134","For-profit","2496764",4,"NOTTINGHAM","A&m Care Solutions Ltd - T/a Metropolitan Care Solutions","28/11/2018","Good",2019-08-21,1,"2018-11-28",NA,NA
"10135","For-profit","2496864",2,"NORTHUMBERLAND","Cambian Childcare Ltd","06/09/2018","Good",2019-12-10,1,"2018-09-06",NA,NA
"10136","For-profit","2497049",2,"BIRMINGHAM","Adecyn Childrens Homes Ltd","03/04/2019","Good",2019-11-28,1,"2019-04-03",NA,NA
"10137","For-profit","2497156",4,"WOLVERHAMPTON","Compass Children's Homes Ltd","18/01/2019","Good",2019-09-26,1,"2019-01-18","2021-05-14",NA
"10138","For-profit","2497538",5,"CAMBRIDGESHIRE","Heartwood Rsc Ltd","15/02/2019","Good",2019-07-10,1,"2019-02-15",NA,NA
"10139","For-profit","2498911",2,"MANCHESTER","The Partnership Of Care Today","17/12/2018","Good",2019-05-22,1,"2018-12-17","2020-12-02",NA
"10140","For-profit","2500044",2,"DERBYSHIRE","Blue Mountain Homes Limited","13/12/2018","Good",2019-04-24,1,"2018-12-13",NA,NA
"10141","For-profit","2500668",3,"LIVERPOOL","Idem Living Ltd","03/10/2018","Good",2019-12-11,1,"2018-10-03",NA,NA
"10142","For-profit","2501397",1,"NOTTINGHAMSHIRE","Esland North Limited","03/12/2018","Requires improvement to be good",2019-05-29,1,"2018-12-03",NA,NA
"10143","For-profit","2501555",15,"SHROPSHIRE","Bryn Melyn Care Limited","04/03/2019","Good",2019-10-15,1,"2019-03-04",NA,NA
"10144","For-profit","2501566",3,"STAFFORDSHIRE","Vitality Care Residential Limited","21/02/2019","Good",2019-11-05,1,"2019-02-21",NA,NA
"10145","For-profit","2502009",6,"LINCOLNSHIRE","4 Keys Care Ltd","22/03/2019","Requires improvement to be good",2019-08-28,1,"2019-03-22","2020-11-25",NA
"10146","For-profit","2502176",3,"DURHAM","Nuevavida Ne Ltd","04/01/2019","Good",2019-04-30,1,"2019-01-04",NA,NA
"10147","For-profit","2502314",3,"SHROPSHIRE","Cambian Childcare Ltd","29/01/2019","Good",2019-08-28,1,"2019-01-29",NA,NA
"10148","Third Sector","2502333",7,"READING","Brighter Futures For Children","29/11/2018","Outstanding",2019-12-03,1,"2018-11-29",NA,NA
"10149","Third Sector","2502334",5,"READING","Brighter Futures For Children","29/11/2018","Outstanding",2019-07-02,1,"2018-11-29",NA,NA
"10150","Third Sector","2502382",40,"SURREY","St Joseph's Specialist Trust","30/10/2018","Good",2019-09-10,1,"2018-10-30",NA,NA
"10151","For-profit","2502918",2,"NORTHAMPTONSHIRE","Protea Care Ltd","21/01/2019","Requires improvement to be good",2019-09-30,1,"2019-01-21",NA,NA
"10152","For-profit","2503031",3,"DUDLEY","Pcf Residential Childcare Ltd","30/01/2019","Good",2019-10-08,1,"2019-01-30",NA,NA
"10153","For-profit","2503076",3,"STAFFORDSHIRE","Hygge Care Ltd","17/02/2019","Good",2019-10-22,1,"2019-02-17",NA,NA
"10154","For-profit","2503142",4,"ENFIELD","Solace Care Partners Limited","10/04/2019","Requires improvement to be good",2019-07-23,1,"2019-04-10",NA,NA
"10155","For-profit","2503306",6,"LINCOLNSHIRE","Unique Care Homes Support Limited","29/05/2019","Good",2020-01-27,1,"2019-05-29",NA,NA
"10156","For-profit","2503316",4,"ST HELENS","Cherished And Devoted Care","07/05/2019","Inadequate",2019-11-06,1,"2019-05-07","2020-08-26",NA
"10157","For-profit","2503574",3,"SEFTON","Teen-Works Care Ltd","15/03/2019","Good",2019-09-18,1,"2019-03-15",NA,NA
"10158","For-profit","2503598",5,"BIRMINGHAM","Aston Children's Care Ltd","20/03/2019","Requires improvement to be good",2019-11-27,1,"2019-03-20",NA,NA
"10159","For-profit","2503605",6,"WALSALL","Steps 4 Life Care Limited","20/12/2018","Good",2019-06-19,1,"2018-12-20",NA,NA
"10160","For-profit","2503710",4,"WORCESTERSHIRE","Solace For Children","04/04/2019","Good",2019-10-08,1,"2019-04-04",NA,NA
"10161","For-profit","2503915",3,"STAFFORDSHIRE","Platinum Services For Children (residential Care) Ltd","11/06/2019","Good",2020-02-05,1,"2019-06-11",NA,NA
"10162","For-profit","2504082",2,"LANCASHIRE","Sandcastle Care Ltd","07/02/2019","Good",2019-09-05,1,"2019-02-07",NA,NA
"10163","For-profit","2504093",5,"WARRINGTON","Roc Northwest Ltd","24/01/2019","Good",2019-07-10,1,"2019-01-24",NA,NA
"10164","For-profit","2504494",3,"LEICESTERSHIRE","Inspirations Leicestershire Ltd","20/02/2019","Requires improvement to be good",2019-07-24,1,"2019-02-20",NA,NA
"10165","For-profit","2504775",4,"HAMPSHIRE","Andover And District Mencap","12/02/2019","Good",2019-09-24,1,"2019-02-12",NA,NA
"10166","For-profit","2505172",2,"HARROW","Curam Domi Solutions Ltd","09/04/2019","Requires improvement to be good",2020-01-07,1,"2019-04-09",NA,NA
"10167","For-profit","2505378",3,"LINCOLNSHIRE","Esland North Limited","19/01/2019","Good",2019-06-25,1,"2019-01-19",NA,NA
"10168","Local Authority","2506082",5,"DERBYSHIRE","Derbyshire County Council","13/12/2018","Requires improvement to be good",2019-06-11,1,"2018-12-13","2021-08-31",NA
"10169","For-profit","2506101",5,"ISLINGTON","Area Camden Ltd","28/03/2019","Good",2019-10-30,1,"2019-03-28",NA,NA
"10170","For-profit","2506232",3,"HAMPSHIRE","Calcot Services For Children Limited","13/02/2019","Good",2019-10-07,1,"2019-02-13",NA,NA
"10171","For-profit","2506856",3,"CUMBRIA","Active Ark Limited","22/01/2019","Good",2019-05-22,1,"2019-01-22",NA,NA
"10172","For-profit","2507038",18,"SHROPSHIRE","Bryn Melyn Care Limited","04/03/2019","Good",2019-08-14,1,"2019-03-04","2021-04-27",NA
"10173","Third Sector","2507350",3,"LEICESTER","Leicester Young Mens Christian Association (incorporated) (the)","09/04/2019","Good",2020-01-20,1,"2019-04-09",NA,NA
"10174","For-profit","2507361",2,"SHROPSHIRE","Reflexion Care Group Limited","09/04/2019","Outstanding",2020-01-29,1,"2019-04-09",NA,NA
"10175","For-profit","2507391",4,"WORCESTERSHIRE","The Partnership Of Care Today Children's Services","10/03/2019","Good",2020-01-14,1,"2019-03-10","2021-08-09",NA
"10176","For-profit","2507393",2,"STAFFORDSHIRE","Future In Mind","05/09/2019","Good",2020-01-13,1,"2019-09-05",NA,NA
"10177","For-profit","2507631",4,"SOMERSET","Keys Educational Services Limited","04/01/2019","Good",2019-08-16,1,"2019-01-04",NA,NA
"10178","Local Authority","2507724",4,"COVENTRY","Coventry City Council","15/03/2019","Good",2019-10-14,1,"2019-03-15",NA,NA
"10179","For-profit","2507889",1,"BLACKPOOL","Outbound Care Ltd","07/05/2019","Requires improvement to be good",2020-03-03,1,"2019-05-07",NA,NA
"10180","For-profit","2508153",2,"BLACKPOOL","Sandcastle Care Ltd","05/02/2019","Good",2019-06-25,1,"2019-02-05",NA,NA
"10181","Local Authority","2508344",2,"DERBYSHIRE","Derbyshire County Council","21/03/2019","Good",2019-07-31,1,"2019-03-21",NA,NA
"10182","Local Authority","2508451",4,"HAMPSHIRE","Hampshire County Council","17/12/2018","Outstanding",2019-08-15,1,"2018-12-17",NA,NA
"10183","For-profit","2508456",3,"STAFFORDSHIRE","Unity Residential Care Services Limited","24/04/2019","Outstanding",2019-12-11,1,"2019-04-24",NA,NA
"10184","Local Authority","2508513",6,"CUMBRIA","Cumbria County Council","22/01/2019","Good",2019-09-13,1,"2019-01-22",NA,NA
"10185","For-profit","2508525",4,"NOTTINGHAMSHIRE","Abbey Green Therapeutic Children's Services Ltd","28/02/2019","Good",2019-08-14,1,"2019-02-28",NA,NA
"10186","For-profit","2508545",2,"STAFFORDSHIRE","Horizon Care And Education Group Limited","13/05/2019","Requires improvement to be good",2019-12-04,1,"2019-05-13","2023-02-27",NA
"10187","For-profit","2509269",3,"LANCASHIRE","New Horizons (nw) Ltd","31/01/2019","Requires improvement to be good",2019-09-10,1,"2019-01-31",NA,NA
"10188","For-profit","2509280",2,"CALDERDALE","Sandcastle Care Ltd","05/03/2019","Good",2019-07-03,1,"2019-03-05",NA,NA
"10189","For-profit","2509298",7,"WAKEFIELD","Witherslack Group Ltd","05/03/2019","Good",2019-08-28,1,"2019-03-05",NA,NA
"10190","For-profit","2509300",7,"WARWICKSHIRE","Witherslack Group Ltd","25/03/2019","Good",2019-10-30,1,"2019-03-25",NA,NA
"10191","For-profit","2509365",2,"NORTH YORKSHIRE","Hexagon Care Services Limited","18/03/2019","Good",2019-09-10,1,"2019-03-18",NA,NA
"10192","For-profit","2509366",2,"WAKEFIELD","Hexagon Care Services Limited","18/03/2019","Good",2019-08-29,1,"2019-03-18",NA,NA
"10193","For-profit","2509367",3,"WAKEFIELD","Hexagon Care Services Limited","22/03/2019","Good",2019-09-16,1,"2019-03-22",NA,NA
"10194","For-profit","2509452",3,"WIGAN","Horizon Care And Education Group Limited","11/03/2019","Requires improvement to be good",2019-10-15,1,"2019-03-11",NA,NA
"10195","For-profit","2509473",4,"KENT","Back On Track Children's Services Se Ltd.","12/02/2019","Good",2019-05-21,1,"2019-02-12",NA,NA
"10196","For-profit","2509670",4,"STOCKPORT","Crystal Care Solutions Limited","28/03/2019","Requires improvement to be good",2019-12-11,1,"2019-03-28",NA,NA
"10197","For-profit","2509684",4,"SOMERSET","South West Childcare Services","30/11/2018","Requires improvement to be good",2019-08-21,1,"2018-11-30",NA,NA
"10198","For-profit","2509731",3,"STAFFORDSHIRE","Acorn Residential Care Ltd","08/04/2019","Requires improvement to be good",2019-12-11,1,"2019-04-08",NA,NA
"10199","For-profit","2509802",3,"ST HELENS","Continuum Support Care Services Ltd","26/08/2019","Good",2020-01-16,1,"2019-08-26",NA,NA
"10200","For-profit","2509838",3,"BOLTON","Holistic Approach Ltd","13/02/2019","Good",2019-06-21,1,"2019-02-13",NA,NA
"10201","For-profit","2510090",3,"BIRMINGHAM","Nml Care Ltd","28/06/2019","Inadequate",2020-01-29,1,"2019-06-28","2020-10-09",NA
"10202","Third Sector","2510199",4,"WALSALL","St Christopher's Fellowship","01/06/2019","Good",2020-02-26,1,"2019-06-01",NA,NA
"10203","For-profit","2510315",3,"PETERBOROUGH","Semi-Independent House Limited","10/06/2019","Good",2020-01-13,1,"2019-06-10",NA,NA
"10204","Third Sector","2510323",5,"HERTFORDSHIRE","MacIntyre Care","25/03/2019","Good",2019-08-14,1,"2019-03-25",NA,NA
"10205","For-profit","2510324",4,"ISLE OF WIGHT","Leeward Care Ltd","13/03/2019","Good",2019-10-15,1,"2019-03-13","2022-07-04",NA
"10206","For-profit","2510328",3,"BIRMINGHAM","Hand In Hand Childcare Ltd","30/04/2019","Requires improvement to be good",2020-01-21,1,"2019-04-30",NA,NA
"10207","For-profit","2510604",4,"BURY","Nestlings Care Ltd","04/07/2019","Outstanding",2020-03-10,1,"2019-07-04",NA,NA
"10208","For-profit","2510737",2,"SEFTON","Pelican Care Group Ltd","17/05/2019","Requires improvement to be good",2019-11-13,1,"2019-05-17",NA,NA
"10209","For-profit","2510847",1,"LANCASHIRE","Hopscotch Care Limited","17/04/2019","Good",2019-09-17,1,"2019-04-17",NA,NA
"10210","For-profit","2511289",1,"PLYMOUTH","Cambian Childcare Ltd","21/01/2019","Requires improvement to be good",2019-07-25,1,"2019-01-21",NA,NA
"10211","For-profit","2511614",3,"LANCASHIRE","Nurture Childcare Services Ltd","20/02/2019","Good",2019-07-02,1,"2019-02-20",NA,NA
"10212","For-profit","2511662",2,"LANCASHIRE","Sandcastle Care Ltd","27/05/2019","Good",2020-03-03,1,"2019-05-27",NA,NA
"10213","For-profit","2512898",2,"DERBY","5ab Care Ltd","19/03/2019","Good",2019-08-06,1,"2019-03-19",NA,NA
"10214","Local Authority","2513339",5,"CENTRAL BEDFORDSHIRE","Central Bedfordshire Council","28/01/2019","Good",2019-07-08,1,"2019-01-28",NA,NA
"10215","For-profit","2513341",5,"HEREFORDSHIRE","Keys Care Ltd","06/08/2019","Good",2020-03-10,1,"2019-08-06",NA,NA
"10216","For-profit","2514259",2,"HAMPSHIRE","Solent Child Care Ltd","26/03/2019","Good",2019-07-23,1,"2019-03-26",NA,NA
"10217","For-profit","2515370",2,"OXFORDSHIRE","Homes 2 Inspire Ltd","23/04/2019","Good",2019-10-02,1,"2019-04-23",NA,NA
"10218","For-profit","2515380",2,"NORTHAMPTONSHIRE","Homes 2 Inspire Ltd","11/02/2019","Good",2019-09-30,1,"2019-02-11",NA,NA
"10219","For-profit","2515609",2,"COVENTRY","Progress Children's Services","21/02/2019","Requires improvement to be good",2019-09-25,1,"2019-02-21",NA,NA
"10220","For-profit","2515613",2,"STAFFORDSHIRE","First Blue Healthcare Limited","07/04/2019","Good",2019-11-21,1,"2019-04-07",NA,NA
"10221","For-profit","2516349",2,"BLACKPOOL","Outbound Care Ltd","13/08/2019","Good",2020-02-25,1,"2019-08-13",NA,NA
"10222","For-profit","2516553",3,"BIRMINGHAM","Beacon Childcare Limited","02/05/2019","Good",2019-11-14,1,"2019-05-02",NA,NA
"10223","For-profit","2516658",1,"BARNSLEY","Prime Adolescence Limited","30/08/2019","Inadequate",2020-01-21,1,"2019-08-30","2022-01-31",NA
"10224","Local Authority","2516984",5,"WORCESTERSHIRE","Worcestershire Health And Care Nhs Trust","05/06/2019","Requires improvement to be good",2020-02-04,1,"2019-06-05",NA,NA
"10225","Local Authority","2517046",1,"KINGSTON UPON HULL","Kingston Upon Hull City Council","01/02/2019","Outstanding",2019-07-23,1,"2019-02-01",NA,NA
"10226","For-profit","2517184",2,"DURHAM","Roc Family Support Ltd","21/03/2019","Good",2019-07-23,1,"2019-03-21",NA,NA
